row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Tài sản cố định khác,VND Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tài sản cố định khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,20.575.107.190,4.914.344.039,49.039.694.342,4.462.898.503,457.856.820,79.449.900.894,20575107190.0,4914344039.0,49039694342.0,4462898503.0,457856820.0,79449900894.0
Sáp nhập (TM số 15.1),Nguyên giá: > Sáp nhập (TM số 15.1),Sáp nhập (TM số 15.1),141.377.610.261,9.057.068.524,5.114.447.559,6.342.788.929,4.090.712.031,165.982.627.304,141377610261.0,9057068524.0,5114447559.0,6342788929.0,4090712031.0,165982627304.0
Mua mới trong năm,Nguyên giá: > Mua mới trong năm,Mua mới trong năm,-,330.181.817,-,192.410.909,125.600.000,648.192.726,,330181817.0,,192410909.0,125600000.0,648192726.0
Góp vốn vào công ty con (TM số 15.1),Nguyên giá: > Góp vốn vào công ty con (TM số 15.1),Góp vốn vào công ty con (TM số 15.1),(35.591.472.790),(3.823.665.002),(10.556.226.740),(4.323.473.543),(1.939.743.015),(56.234.581.090),-35591472790.0,-3823665002.0,-10556226740.0,-4323473543.0,-1939743015.0,-56234581090.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,-,-,(557.478.952),(284.288.182),(152.236.364),(994.003.498),,,-557478952.0,-284288182.0,-152236364.0,-994003498.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,126.361.244.661,10.477.929.378,43.040.436.209,6.390.336.616,2.582.189.472,188.852.136.336,126361244661.0,10477929378.0,43040436209.0,6390336616.0,2582189472.0,188852136336.0
Trong đó: Đã khấu hao hết,Nguyên giá: > Trong đó: Đã khấu hao hết,Trong đó: Đã khấu hao hết,4.258.365.704,5.572.394.702,10.194.827.847,3.559.029.700,581.733.940,24.166.351.893,4258365704.0,5572394702.0,10194827847.0,3559029700.0,581733940.0,24166351893.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(10.147.578.598),(2.891.171.198),(20.384.059.465),(2.295.157.837),(386.163.828),(36.104.130.926),-10147578598.0,-2891171198.0,-20384059465.0,-2295157837.0,-386163828.0,-36104130926.0
Tăng do sáp nhập (TM số 15.1),Giá trị khấu hao lũy kế: > Tăng do sáp nhập (TM số 15.1),Tăng do sáp nhập (TM số 15.1),(47.397.898.237),(8.257.173.599),(4.023.127.613),(5.784.994.052),(3.471.662.437),(68.934.855.938),-47397898237.0,-8257173599.0,-4023127613.0,-5784994052.0,-3471662437.0,-68934855938.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(1.619.701.630),(547.391.597),(3.620.832.843),(683.991.753),(148.043.543),(6.619.961.366),-1619701630.0,-547391597.0,-3620832843.0,-683991753.0,-148043543.0,-6619961366.0
Góp vốn vào công ty con (TM số 15.1),Giá trị khấu hao lũy kế: > Góp vốn vào công ty con (TM số 15.1),Góp vốn vào công ty con (TM số 15.1),14.266.499.241,2.691.819.494,7.328.152.259,3.773.293.807,1.628.382.373,29.688.147.174,14266499241.0,2691819494.0,7328152259.0,3773293807.0,1628382373.0,29688147174.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,-,-,557.478.952,284.288.182,152.236.364,994.003.498,,,557478952.0,284288182.0,152236364.0,994003498.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(44.898.679.224),(9.003.916.900),(20.142.388.710),(4.706.561.653),(2.225.251.071),(80.976.797.558),-44898679224.0,-9003916900.0,-20142388710.0,-4706561653.0,-2225251071.0,-80976797558.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,10.427.528.592,2.023.172.841,28.655.634.877,2.167.740.666,71.692.992,43.345.769.968,10427528592.0,2023172841.0,28655634877.0,2167740666.0,71692992.0,43345769968.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,81.462.565.437,1.474.012.478,22.898.047.499,1.683.774.963,356.938.401,107.875.338.778,81462565437.0,1474012478.0,22898047499.0,1683774963.0,356938401.0,107875338778.0
