row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__VND Số cuối năm
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế TNDN tạm nộp,Phải thu > Thuế TNDN tạm nộp,Thuế TNDN tạm nộp,15.592.651.837,16.995.880.233,(20.789.557.597),11.798.974.473,15592651837.0,16995880233.0,-20789557597.0,11798974473.0
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,1.654.514.905,56.480.376,(1.182.063.289),528.931.992,1654514905.0,56480376.0,-1182063289.0,528931992.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,17.247.166.742,17.052.360.609,(21.971.620.886),12.327.906.465,17247166742.0,17052360609.0,-21971620886.0,12327906465.0
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế đất,Phải nộp > Thuế đất,Thuế đất,-,106.769.473.263,(10.652.016.143),96.117.457.120,,106769473263.0,-10652016143.0,96117457120.0
Thuế TNDN,Phải nộp > Thuế TNDN,Thuế TNDN,113.438.602.335,125.384.211.475,(161.110.757.199),77.712.056.611,113438602335.0,125384211475.0,-161110757199.0,77712056611.0
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,1.621.346.295,198.503.517.335,(188.489.344.576),11.635.519.054,1621346295.0,198503517335.0,-188489344576.0,11635519054.0
Thuế thu nhập,Thuế thu nhập,Thuế thu nhập,Thuế thu nhập,Thuế thu nhập,Thuế thu nhập,Thuế thu nhập,,,,
cá nhân,Thuế thu nhập > cá nhân,cá nhân,2.247.999.383,4.402.607.748,(5.651.168.295),999.438.836,2247999383.0,4402607748.0,-5651168295.0,999438836.0
Thuế khác,Thuế thu nhập > Thuế khác,Thuế khác,73.101.072,8.842.042.823,(649.535.814),8.265.608.081,73101072.0,8842042823.0,-649535814.0,8265608081.0
TỔNG CỘNG,Thuế thu nhập > TỔNG CỘNG,TỔNG CỘNG,117.381.049.085,443.901.852.644,(366.552.822.027),194.730.079.702,117381049085.0,443901852644.0,-366552822027.0,194730079702.0
