row_label_raw,row_label_full,Ông Nguyễn Thiện Tuấn,Chủ tịch,col_2,numeric__Chủ tịch,numeric__col_2
Ông Nguyễn Hùng Cường,Ông Nguyễn Hùng Cường,Ông Nguyễn Hùng Cường,Phó chủ tịch,,,
Ông Nguyễn Quang Tín,Ông Nguyễn Quang Tín,Ông Nguyễn Quang Tín,Thành viên,,,
Ông Hoàng Văn Tăng,Ông Hoàng Văn Tăng,Ông Hoàng Văn Tăng,Thành viên,,,
Bà Phan Thị Mai Hương,Bà Phan Thị Mai Hương,Bà Phan Thị Mai Hương,Thành viên,,,
Bà Nguyễn Thị Thanh Huyền,Bà Nguyễn Thị Thanh Huyền,Bà Nguyễn Thị Thanh Huyền,Thành viên,bổ nhiệm ngày 30 tháng 6 năm 2020,,
Bà Nguyễn Thảo My,Bà Nguyễn Thảo My,Bà Nguyễn Thảo My,Thành viên,bổ nhiệm ngày 30 tháng 6 năm 2020,,
Ông Phan Văn Danh,Ông Phan Văn Danh,Ông Phan Văn Danh,Thành viên,bổ nhiệm ngày 28 tháng 1 năm 2021,,
Ông Trần Minh Phú,Ông Trần Minh Phú,Ông Trần Minh Phú,Phó chủ tịch,miễn nhiệm ngày 30 tháng 6 năm 2020,,
Ông Trần Thái Phong,Ông Trần Thái Phong,Ông Trần Thái Phong,Thành viên,miễn nhiệm ngày 14 tháng 12 năm 2020,,
,,,,bổ nhiệm ngày 30 tháng 6 năm 2020,,
Ông Đình Quang Hoàn,Ông Đình Quang Hoàn,Ông Đình Quang Hoàn,Thành viên,miễn nhiệm ngày 14 tháng 12 năm 2020,,
