row_label_raw,row_label_full,col_0,Số đầu năm,Vay trong năm,Trả nợ gốc vay,Phân loại lại,VND Số cuối năm,numeric__Số đầu năm,numeric__Vay trong năm,numeric__Trả nợ gốc vay,numeric__Phân loại lại,numeric__VND Số cuối năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,372.079.170.058,232.802.431.537,(474.892.971.978),342.206.608.967,472.195.238.584,372079170058.0,232802431537.0,-474892971978.0,342206608967.0,472195238584.0
Vay ngân hàng (TM số 22.1),Vay ngân hàng (TM số 22.1),Vay ngân hàng (TM số 22.1),19.355.709.878,232.802.431.537,(122.169.511.798),-,129.988.629.617,19355709878.0,232802431537.0,-122169511798.0,,129988629617.0
Vay ngân hàng dài hạn đến hạn trả (TM số 22.2),Vay ngân hàng dài hạn đến hạn trả (TM số 22.2),Vay ngân hàng dài hạn đến hạn trả (TM số 22.2),352.723.460.180,-,(352.723.460.180),342.206.608.967,342.206.608.967,352723460180.0,,-352723460180.0,342206608967.0,342206608967.0
Dài hạn,Dài hạn,Dài hạn,727.444.326.308,426.251.554.170,-,(342.206.608.967),811.489.271.511,727444326308.0,426251554170.0,,-342206608967.0,811489271511.0
Vay ngân hàng (TM số 22.2),Vay ngân hàng (TM số 22.2),Vay ngân hàng (TM số 22.2),727.444.326.308,426.251.554.170,-,(342.206.608.967),811.489.271.511,727444326308.0,426251554170.0,,-342206608967.0,811489271511.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.099.523.496.366,659.053.985.707,(474.892.971.978),-,1.283.684.510.095,1099523496366.0,659053985707.0,-474892971978.0,,1283684510095.0
22.1 Vay ngân hàng ngắn hạn,22.1 Vay ngân hàng ngắn hạn,22.1 Vay ngân hàng ngắn hạn,22.1 Vay ngân hàng ngắn hạn,22.1 Vay ngân hàng ngắn hạn,22.1 Vay ngân hàng ngắn hạn,22.1 Vay ngân hàng ngắn hạn,22.1 Vay ngân hàng ngắn hạn,,,,,
Ngân hàng,Ngân hàng,Ngân hàng,Số cuối năm VND,Kỳ hạn trả gốc và lãi,Lãi suất (%/năm),,Hình thức đảm bảo,,,,,
Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Đồng Nai,Ngân hàng > Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Đồng Nai,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Đồng Nai,100.000.000.000,ngày 30 tháng 11 năm 2021,"8,00%","12.996,8m2 đất ở theo GCNQSDĐ và quyền sở hữu nhà ở và tài sản khác gắn liền với đất số BN981924 do UBND Tĩnh Bà Rịa - Vũng Tàu cấp ngày 20 tháng 5 năm 2014 với tổng giá trị tài sản thế chấp là 194.952.000.000 VND.","12.996,8m2 đất ở theo GCNQSDĐ và quyền sở hữu nhà ở và tài sản khác gắn liền với đất số BN981924 do UBND Tĩnh Bà Rịa - Vũng Tàu cấp ngày 20 tháng 5 năm 2014 với tổng giá trị tài sản thế chấp là 194.952.000.000 VND.",100000000000.0,,0.08,,
Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Tĩnh Bà Rịa - Vũng Tàu,Ngân hàng > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Tĩnh Bà Rịa - Vũng Tàu,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Tĩnh Bà Rịa - Vũng Tàu,29.988.629.617,từ ngày 15 tháng 4 năm 2021 đến ngày 29 tháng 11 năm 2021,"8,25% - 9,00%","Quyền sử dụng đất sản xuất kinh doanh tại phương 5, Thành phố Vũng Tàu;tài sản trên đất tại Biệt thụ Tiên Sa và Văn phòng làm việc Công ty tại 265 Lê Hồng Phong,Thành phố Vũng Tàu với tổng giá trị thế chấp 22.766.000.000 VND","Quyền sử dụng đất sản xuất kinh doanh tại phương 5, Thành phố Vũng Tàu;tài sản trên đất tại Biệt thụ Tiên Sa và Văn phòng làm việc Công ty tại 265 Lê Hồng Phong,Thành phố Vũng Tàu với tổng giá trị thế chấp 22.766.000.000 VND",29988629617.0,,,,
TỔNG CỘNG,Ngân hàng > TỔNG CỘNG,TỔNG CỘNG,129.988.629.617,,,,,129988629617.0,,,,
