row_label_raw,row_label_full,DIC Phương Nam,Bên liên quan,Trả trước thực hiện dự án,186.499.974.132,187.601.084.910,numeric__Bên liên quan,numeric__Trả trước thực hiện dự án,numeric__186.499.974.132,numeric__187.601.084.910
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,,
DIC Phương Nam,Phải thu về cho vay ngắn hạn > DIC Phương Nam,DIC Phương Nam,Bên liên quan,Cho vay (*),59.860.000.000,55.950.768.652,,,59860000000.0,55950768652.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,,,,
DIC Anh Em,Phải thu về cho vay dài hạn > DIC Anh Em,DIC Anh Em,Công ty con,Cho vay (*),56.800.000.000,60.000.000.000,,,56800000000.0,60000000000.0
,,,,,116.660.000.000,115.950.768.652,,,116660000000.0,115950768652.0
