row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay,VNDNăm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__VNDNăm trước
DIC Resco,DIC Resco,DIC Resco,Công ty liên kết,Chi phí môi giới,38.726.707.613,102.427.940.573,,,38726707613.0,102427940573.0
DIC Resco,DIC Resco,DIC Resco,Công ty liên kết,Chi phí thi công,5.869.454.820,3.373.387.268,,,5869454820.0,3373387268.0
DIC Resco,DIC Resco,DIC Resco,Công ty liên kết,Bán căn hộ,-,20.549.525.369,,,,20549525369.0
DIC Resco,DIC Resco,DIC Resco,Công ty liên kết,Chuyển nhượng quyền sử dụng đất,-,85.825.634.960,,,,85825634960.0
DIC Phương Nam,DIC Phương Nam,DIC Phương Nam,Công ty liên kết,Chi phí tiếp khách,26.964.235.792,1.444.851.493,,,26964235792.0,1444851493.0
DIC Phương Nam,DIC Phương Nam,DIC Phương Nam,Công ty liên kết,Thu lãi cho vay,5.873.960.488,2.039.460.285,,,5873960488.0,2039460285.0
DIC Phương Nam,DIC Phương Nam,DIC Phương Nam,Công ty liên kết,Cho vay,5.000.000.000,-,,,5000000000.0,
DIC T&T,DIC T&T,DIC T&T,Trước đáy là công ty con,Chi phí dịch vụ,811.472.091,7.067.704.738,,,811472091.0,7067704738.0
DIC Anh Em,DIC Anh Em,DIC Anh Em,Công ty con,Lãi vay,4.009.611.871,4.681.084.444,,,4009611871.0,4681084444.0
Vina Đại Phước,Vina Đại Phước,Vina Đại Phước,Công ty trong cùng Tập đoàn,Dịch vụ cung cấp,3.657.723.600,3.362.304.100,,,3657723600.0,3362304100.0
