row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tưphát triển,Lợi nhuận sau thuếchưa phân phối,VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tưphát triển,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,2.524.847.830.000,66.111.261.707,-,172.217.135.115,434.254.982.493,3.197.431.209.315,2524847830000.0,66111261707.0,,172217135115.0,434254982493.0,3197431209315.0
Phát hành cổ phiếu mới,Năm trước > Phát hành cổ phiếu mới,Phát hành cổ phiếu mới,474.636.610.000,142.046.728.000,-,-,-,616.683.338.000,474636610000.0,142046728000.0,,,,616683338000.0
Cổ tức bằng cổ phiếu,Năm trước > Cổ tức bằng cổ phiếu,Cổ tức bằng cổ phiếu,149.951.570.000,-,-,-,(149.951.570.000),-,149951570000.0,,,,-149951570000.0,
Cổ tức bằng tiền,Năm trước > Cổ tức bằng tiền,Cổ tức bằng tiền,-,-,-,-,(176.739.348.100),(176.739.348.100),,,,,-176739348100.0,-176739348100.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,475.527.054.018,475.527.054.018,,,,,475527054018.0,475527054018.0
Trích lập quỹ đầu tưphát triển,Năm trước > Trích lập quỹ đầu tưphát triển,Trích lập quỹ đầu tưphát triển,-,-,-,16.831.104.666,(16.831.104.666),-,,,,16831104666.0,-16831104666.0,
"Trích lập quỹ khen thưởng,phúc lợi","Năm trước > Trích lập quỹ khen thưởng,phúc lợi","Trích lập quỹ khen thưởng,phúc lợi",-,-,-,-,(16.831.104.666),(16.831.104.666),,,,,-16831104666.0,-16831104666.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,3.149.436.010.000,208.157.989.707,-,189.048.239.781,549.428.909.079,4.096.071.148.567,3149436010000.0,208157989707.0,,189048239781.0,549428909079.0,4096071148567.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.149.436.010.000,208.157.989.707,-,189.048.239.781,549.428.909.079,4.096.071.148.567,3149436010000.0,208157989707.0,,189048239781.0,549428909079.0,4096071148567.0
Phát hành cổ phiếu mới (*),Năm nay > Phát hành cổ phiếu mới (*),Phát hành cổ phiếu mới (*),35.489.500.000,(226.500.000),-,-,-,35.263.000.000,35489500000.0,-226500000.0,,,,35263000000.0
Mua lại cổ phiếu quỹ,Năm nay > Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,-,(90.270.193.851),-,-,(90.270.193.851),,,-90270193851.0,,,-90270193851.0
Bán cổ phiếu quỹ,Năm nay > Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,-,88.604.048.714,90.270.193.851,-,-,178.874.242.565,,88604048714.0,90270193851.0,,,178874242565.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,487.364.672.353,487.364.672.353,,,,,487364672353.0,487364672353.0
Trích lập quỹ đầu tưphát triển,Năm nay > Trích lập quỹ đầu tưphát triển,Trích lập quỹ đầu tưphát triển,-,-,-,23.776.352.701,(23.776.352.701),-,,,,23776352701.0,-23776352701.0,
"Trích lập quỹ khen thưởng,phúc lợi","Năm nay > Trích lập quỹ khen thưởng,phúc lợi","Trích lập quỹ khen thưởng,phúc lợi",-,-,-,-,(23.776.352.700),(23.776.352.700),,,,,-23776352700.0,-23776352700.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.184.925.510.000,296.535.538.421,-,212.824.592.482,989.240.876.031,4.683.526.516.934,3184925510000.0,296535538421.0,,212824592482.0,989240876031.0,4683526516934.0
