row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn khách hàng,Phải thu ngắn hạn khách hàng,Phải thu ngắn hạn khách hàng,Phải thu ngắn hạn khách hàng,Phải thu ngắn hạn khách hàng,Phải thu ngắn hạn khách hàng,Phải thu ngắn hạn khách hàng,,,,
DIC Resco,Phải thu ngắn hạn khách hàng > DIC Resco,DIC Resco,Công ty liên kết,Doanh thu bán hàng và cung cấp dịch vụ,13.463.284.000,24.819.697.200,,,13463284000.0,24819697200.0
DIC Du lịch,Phải thu ngắn hạn khách hàng > DIC Du lịch,DIC Du lịch,Công ty con,Cung cấp dịch vụ,1.610.528.999,-,,,1610528999.0,
DIC Số 4,Phải thu ngắn hạn khách hàng > DIC Số 4,DIC Số 4,Công ty liên kết,Cung cấp dịch vụ,314.197.913,3.382.402.000,,,314197913.0,3382402000.0
Vina Đại Phước,Phải thu ngắn hạn khách hàng > Vina Đại Phước,Vina Đại Phước,Công ty trong cùng Tập đoàn,Cung cấp dịch vụ,305.453.775,1.024.764.990,,,305453775.0,1024764990.0
DIC Số 1,Phải thu ngắn hạn khách hàng > DIC Số 1,DIC Số 1,Công ty con,Doanh thu bán hàng và cung cấp dịch vụ,268.800.000,461.879.918,,,268800000.0,461879918.0
DIC Phương Nam,Phải thu ngắn hạn khách hàng > DIC Phương Nam,DIC Phương Nam,Công ty liên kết,Cung cấp dịch vụ,-,302.714.457,,,,302714457.0
DIC Bê tông,Phải thu ngắn hạn khách hàng > DIC Bê tông,DIC Bê tông,Công ty liên kết,Cung cấp dịch vụ,109.576.675,201.231.453,,,109576675.0,201231453.0
DIC T&T,Phải thu ngắn hạn khách hàng > DIC T&T,DIC T&T,Công ty con,Cung cấp dịch vụ,-,196.282.000,,,,196282000.0
DIC Số 2,Phải thu ngắn hạn khách hàng > DIC Số 2,DIC Số 2,Công ty con,Cung cấp dịch vụ,-,155.184.764,,,,155184764.0
,,,,,16.071.841.362,30.544.156.782,,,16071841362.0,30544156782.0
