row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,1.796.255.415.043,1.574.067.823.475,1796255415043.0,1574067823475.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu chuyển nhượng bất động sản,Trong đó: > Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,1.727.453.604.087,1.488.209.039.672,1727453604087.0,1488209039672.0
Doanh thu cung cấp dịch vụ,Trong đó: > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,68.801.810.956,85.716.261.985,68801810956.0,85716261985.0
Doanh thu hoạt động xây dựng,Trong đó: > Doanh thu hoạt động xây dựng,Doanh thu hoạt động xây dựng,-,142.521.818,,142521818.0
Các khoản giảm trừ doanh thu,Trong đó: > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(15.306.297.490),(22.456.444.350),-15306297490.0,-22456444350.0
Hàng bán trả lại,Trong đó: > Hàng bán trả lại,Hàng bán trả lại,(15.306.297.490),(22.456.444.350),-15306297490.0,-22456444350.0
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,1.780.949.117.553,1.551.611.379.125,1780949117553.0,1551611379125.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu chuyển nhượng bất động sản,Trong đó: > Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,1.712.147.306.597,1.465.752.595.322,1712147306597.0,1465752595322.0
Doanh thu cung cấp dịch vụ,Trong đó: > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,68.801.810.956,85.716.261.985,68801810956.0,85716261985.0
Doanh thu hoạt động xây dựng,Trong đó: > Doanh thu hoạt động xây dựng,Doanh thu hoạt động xây dựng,-,142.521.818,,142521818.0
