row_label_raw,row_label_full,Số dư đầu năm > Trích lập dự phòng trong năm (Thuyết minh 33),Năm 2025triệu đồng > 33.492 > 6.102,Năm 2024triệu đồng > 33.492 > -,numeric__Năm 2025triệu đồng > 33.492 > 6.102,numeric__Năm 2024triệu đồng > 33.492 > -
Điều chỉnh theo Kiểm toán Nhà nước,Điều chỉnh theo Kiểm toán Nhà nước,Điều chỉnh theo Kiểm toán Nhà nước,(10.107),-,-10107.0,
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,29.487,33.492,29487.0,33492.0
