row_label_raw,row_label_full,Các khoản thuế phải nộp Nhà nước (Thuyết minh 24),31/12/2025triệu đồng > 3.725.685,31/12/2024triệu đồng > 3.216.850,numeric__31/12/2025triệu đồng > 3.725.685,numeric__31/12/2024triệu đồng > 3.216.850
Chuyển tiền phải trả,Chuyển tiền phải trả,Chuyển tiền phải trả,1.650.895,552.701,1650895.0,552701.0
Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,644.483,466.007,644483.0,466007.0
"Phải trả liên quan đến dịch vụ liên kết cho các giao dịch chuyển khoản, thanh toán","Phải trả liên quan đến dịch vụ liên kết cho các giao dịch chuyển khoản, thanh toán","Phải trả liên quan đến dịch vụ liên kết cho các giao dịch chuyển khoản, thanh toán",184.193,316.900,184193.0,316900.0
Phải trả về dịch vụ thanh toán,Phải trả về dịch vụ thanh toán,Phải trả về dịch vụ thanh toán,12.413.243,7.268.673,12413243.0,7268673.0
Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,684.875,329.306,684875.0,329306.0
,,,19.303.374,12.150.437,19303374.0,12150437.0
