row_label_raw,row_label_full,col_0,31/12/2025 triệu đồng Phải thu/(Phải trả),31/12/2024 triệu đồng Phải thu/(Phải trả),numeric__31/12/2025 triệu đồng Phải thu/(Phải trả),numeric__31/12/2024 triệu đồng Phải thu/(Phải trả)
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,
"Công ty Cổ phần Quản lý Quỹ Đầu tư MB (""MB Cap"") - Tiền gửi của MB Cap tại Ngân hàng","Các công ty con > Công ty Cổ phần Quản lý Quỹ Đầu tư MB (""MB Cap"") - Tiền gửi của MB Cap tại Ngân hàng","Công ty Cổ phần Quản lý Quỹ Đầu tư MB (""MB Cap"") - Tiền gửi của MB Cap tại Ngân hàng",(45.043),(266.390),-45043.0,-266390.0
"Công ty Cổ phần Chứng khoán MB (""MBS"") - Tiền gửi của MBS tại Ngân hàng","Các công ty con > Công ty Cổ phần Chứng khoán MB (""MBS"") - Tiền gửi của MBS tại Ngân hàng","Công ty Cổ phần Chứng khoán MB (""MBS"") - Tiền gửi của MBS tại Ngân hàng",(3.011.546),(2.393.801),-3011546.0,-2393801.0
"Công ty TNHH Quản lý Nợ và Khai thác tài sản Ngân hàng Thương mại Cổ phần Quân đội (""MB AMC"") - Tiền gửi của MB AMC tại Ngân hàng","Các công ty con > Công ty TNHH Quản lý Nợ và Khai thác tài sản Ngân hàng Thương mại Cổ phần Quân đội (""MB AMC"") - Tiền gửi của MB AMC tại Ngân hàng","Công ty TNHH Quản lý Nợ và Khai thác tài sản Ngân hàng Thương mại Cổ phần Quân đội (""MB AMC"") - Tiền gửi của MB AMC tại Ngân hàng",(103.031),(367.252),-103031.0,-367252.0
"Công ty Tài chính Tín dụng Tiêu dùng Trách nhiệm hữu hạn MB Shinsei (""Mcredit"") - Tiền gửi và cho vay Mcredit - Tiền gửi của Mcredit tại Ngân hàng","Công ty Tài chính Tín dụng Tiêu dùng Trách nhiệm hữu hạn MB Shinsei (""Mcredit"") - Tiền gửi và cho vay Mcredit - Tiền gửi của Mcredit tại Ngân hàng","Công ty Tài chính Tín dụng Tiêu dùng Trách nhiệm hữu hạn MB Shinsei (""Mcredit"") - Tiền gửi và cho vay Mcredit - Tiền gửi của Mcredit tại Ngân hàng",10.670.000 (3.459.886),8.325.000 (1.190.771),,
"Tổng Công ty Cổ phần Bảo hiểm Quân đội (""MIC"") - Tiền gửi của MIC tại Ngân hàng","Công ty Tài chính Tín dụng Tiêu dùng Trách nhiệm hữu hạn MB Shinsei (""Mcredit"") - Tiền gửi và cho vay Mcredit - Tiền gửi của Mcredit tại Ngân hàng > Tổng Công ty Cổ phần Bảo hiểm Quân đội (""MIC"") - Tiền gửi của MIC tại Ngân hàng","Tổng Công ty Cổ phần Bảo hiểm Quân đội (""MIC"") - Tiền gửi của MIC tại Ngân hàng",(1.703.115),(729.734),-1703115.0,-729734.0
"Công ty TNHH Bảo hiểm Nhân thọ MB Ageas (""MBLife"") - Tiền gửi của MBLife tại Ngân hàng","Công ty Tài chính Tín dụng Tiêu dùng Trách nhiệm hữu hạn MB Shinsei (""Mcredit"") - Tiền gửi và cho vay Mcredit - Tiền gửi của Mcredit tại Ngân hàng > Công ty TNHH Bảo hiểm Nhân thọ MB Ageas (""MBLife"") - Tiền gửi của MBLife tại Ngân hàng","Công ty TNHH Bảo hiểm Nhân thọ MB Ageas (""MBLife"") - Tiền gửi của MBLife tại Ngân hàng",(2.998.049),(2.389.052),-2998049.0,-2389052.0
"Ngân hàng Đại chúng TNHH MB Campuchia (""MB Cambodia"") - Tiền gửi tại MB Cambodia - Tiền gửi của MB Cambodia tại Ngân hàng","Ngân hàng Đại chúng TNHH MB Campuchia (""MB Cambodia"") - Tiền gửi tại MB Cambodia - Tiền gửi của MB Cambodia tại Ngân hàng","Ngân hàng Đại chúng TNHH MB Campuchia (""MB Cambodia"") - Tiền gửi tại MB Cambodia - Tiền gửi của MB Cambodia tại Ngân hàng",920.153 (51.579),1.909.376 (2.148),,
Ngân hàng TNHH MTV Việt Nam Hiện Đại - Các khoản phải thu về bán nợ,"Ngân hàng Đại chúng TNHH MB Campuchia (""MB Cambodia"") - Tiền gửi tại MB Cambodia - Tiền gửi của MB Cambodia tại Ngân hàng > Ngân hàng TNHH MTV Việt Nam Hiện Đại - Các khoản phải thu về bán nợ",Ngân hàng TNHH MTV Việt Nam Hiện Đại - Các khoản phải thu về bán nợ,11.248.396,5.852.543,11248396.0,5852543.0
Cổ đông lớn,Cổ đông lớn,Cổ đông lớn,Cổ đông lớn,Cổ đông lớn,,
- Tiền gửi tại Ngân hàng,Cổ đông lớn > - Tiền gửi tại Ngân hàng,- Tiền gửi tại Ngân hàng,(40.201.646),(40.239.944),-40201646.0,-40239944.0
