row_label_raw,row_label_full,Bà Lê Thị Lợi,Trường Ban,numeric__Trường Ban
Bà Nguyễn Thị An Bình,Bà Nguyễn Thị An Bình,Bà Nguyễn Thị An Bình,Phó Trường Ban,
Bà Đỗ Thị Tuyết Mai,Bà Đỗ Thị Tuyết Mai,Bà Đỗ Thị Tuyết Mai,Thành viên,
Bà Nguyễn Thị Nguyệt Hà,Bà Nguyễn Thị Nguyệt Hà,Bà Nguyễn Thị Nguyệt Hà,Thành viên,
Ông Đỗ Văn Tiến,Ông Đỗ Văn Tiến,Ông Đỗ Văn Tiến,Thành viên,
