row_label_raw,row_label_full,col_0,col_1,31/12/2025triệu đồng,31/12/2024triệu đồng,numeric__col_1,numeric__31/12/2025triệu đồng,numeric__31/12/2024triệu đồng
1. Thù lao Hội đồng Quản trị,1. Thù lao Hội đồng Quản trị,1. Thù lao Hội đồng Quản trị,Chức danh,21.382,13.618,,21382.0,13618.0
Ông Lưu Trung Thái,Ông Lưu Trung Thái,Ông Lưu Trung Thái,Chủ tịch,3.692,3.258,,3692.0,3258.0
Bà Vũ Thị Hải Phương,Bà Vũ Thị Hải Phương,Bà Vũ Thị Hải Phương,Phó Chủ tịch HĐQT,3.307,2.575,,3307.0,2575.0
Ông Vũ Thành Trung,Ông Vũ Thành Trung,Ông Vũ Thành Trung,Phó Chủ tịch HĐQT(Từ ngày 15 tháng 6 năm 2024),2.542,-,,2542.0,
Bà Nguyễn Thị Ngọc,Bà Nguyễn Thị Ngọc,Bà Nguyễn Thị Ngọc,Thành viên HĐQT(Đến ngày 15 tháng 6 năm 2024),-,1.301,,,1301.0
Bà Nguyễn Thị Thủy,Bà Nguyễn Thị Thủy,Bà Nguyễn Thị Thủy,Thành viên HĐQT(Đến ngày 15 tháng 6 năm 2024),-,1.301,,,1301.0
Ông Lê Việt Hải,Ông Lê Việt Hải,Ông Lê Việt Hải,Thành viên HĐQTThành viên HĐQT độc lập,2.308,2.089,,2308.0,2089.0
Ông Trần Trung Tín,Ông Trần Trung Tín,Ông Trần Trung Tín,(Đến ngày 15 tháng 6 năm 2024),-,326,,,326.0
Ông Hoàng Văn Sâm,Ông Hoàng Văn Sâm,Ông Hoàng Văn Sâm,Thành viên HĐQT độc lập,1.411,152,,1411.0,152.0
Thù lao trả cho thành viên Hội đồng Quản trị thông qua doanh nghiệp cử người đại diện (5 người),Thù lao trả cho thành viên Hội đồng Quản trị thông qua doanh nghiệp cử người đại diện (5 người),Thù lao trả cho thành viên Hội đồng Quản trị thông qua doanh nghiệp cử người đại diện (5 người),,8.122,2.616,,8122.0,2616.0
2. Ban Kiểm soát,2. Ban Kiểm soát,2. Ban Kiểm soát,,9.471,7.040,,9471.0,7040.0
Bà Lê Thị Lợi,Bà Lê Thị Lợi,Bà Lê Thị Lợi,Trường Ban Kiểm soát,3.136,2.492,,3136.0,2492.0
Bà Nguyễn Thị An Bình,Bà Nguyễn Thị An Bình,Bà Nguyễn Thị An Bình,Phó Trường Ban Kiểm soát,2.873,2.307,,2873.0,2307.0
Bà Đỗ Thị Tuyết Mai,Bà Đỗ Thị Tuyết Mai,Bà Đỗ Thị Tuyết Mai,Thành viên Ban Kiểm soát,1.191,931,,1191.0,931.0
Bà Nguyễn Thị Nguyệt Hà,Bà Nguyễn Thị Nguyệt Hà,Bà Nguyễn Thị Nguyệt Hà,Thành viên Ban Kiểm soát,1.191,479,,1191.0,479.0
