row_label_raw,row_label_full,Ông Lưu Trung Thái,Chủ tịch,numeric__Chủ tịch
Bà Vũ Thị Hải Phương,Bà Vũ Thị Hải Phương,Bà Vũ Thị Hải Phương,Phó Chủ tịch,
Bà Nguyễn Thị Hải Lý,Bà Nguyễn Thị Hải Lý,Bà Nguyễn Thị Hải Lý,Phó Chủ tịch,
Ông Vũ Thành Trung,Ông Vũ Thành Trung,Ông Vũ Thành Trung,Phó Chủ tịch,
Ông Phạm Như Ảnh,Ông Phạm Như Ảnh,Ông Phạm Như Ảnh,Thành viên,
Ông Lê Việt Hải,Ông Lê Việt Hải,Ông Lê Việt Hải,Thành viên,
Bà Vũ Thái Huyền,Bà Vũ Thái Huyền,Bà Vũ Thái Huyền,Thành viên,
Ông Phạm Doãn Cương,Ông Phạm Doãn Cương,Ông Phạm Doãn Cương,Thành viên,
Bà Hoàng Thị Thu Hiền,Bà Hoàng Thị Thu Hiền,Bà Hoàng Thị Thu Hiền,Thành viên,
Ông Vũ Xuân Nam,Ông Vũ Xuân Nam,Ông Vũ Xuân Nam,Thành viên,
Ông Hoàng Văn Sâm,Ông Hoàng Văn Sâm,Ông Hoàng Văn Sâm,Thành viên HĐQT độc lập,
