row_label_raw,row_label_full,col_0,Quá hạn triệu đồng,Không ảnh hưởng thay đổi lãi suất triệu đồng,Đến 1 tháng triệu đồng,Từ 1 - 3 tháng triệu đồng,Từ 3 - 6 tháng triệu đồng,Từ 6 - 12 tháng triệu đồng,Từ 1 - 5 năm triệu đồng,Trên 5 năm triệu đồng,Tổng cộng triệu đồng,numeric__Quá hạn triệu đồng,numeric__Không ảnh hưởng thay đổi lãi suất triệu đồng,numeric__Đến 1 tháng triệu đồng,numeric__Từ 1 - 3 tháng triệu đồng,numeric__Từ 3 - 6 tháng triệu đồng,numeric__Từ 6 - 12 tháng triệu đồng,numeric__Từ 1 - 5 năm triệu đồng,numeric__Trên 5 năm triệu đồng,numeric__Tổng cộng triệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,4.842.368,-,-,-,-,-,-,4.842.368,,4842368.0,,,,,,,4842368.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,66.404.931,-,-,-,-,-,-,66.404.931,,66404931.0,,,,,,,66404931.0
Tiền gửi và cho vay các TCTD khác (*),Tài sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),-,-,166.708.918,2.157.153,-,-,-,-,168.866.071,,,166708918.0,2157153.0,,,,,168866071.0
Chứng khoán kinh doanh,Tài sản > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,-,3.050.285,-,-,-,-,-,3.050.285,,,3050285.0,,,,,,3050285.0
Cho vay khách hàng và mua nợ (*),Tài sản > Cho vay khách hàng và mua nợ (*),Cho vay khách hàng và mua nợ (*),17.592.131,-,293.918.814,404.232.553,126.706.220,131.933.312,58.901.252,284.738,1.033.569.020,17592131.0,,293918814.0,404232553.0,126706220.0,131933312.0,58901252.0,284738.0,1033569020.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),50.000,-,10.480.390,44.048.740,22.335.208,29.291.193,52.149.433,54.153.978,212.508.942,50000.0,,10480390.0,44048740.0,22335208.0,29291193.0,52149433.0,54153978.0,212508942.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,8.774.684,-,-,-,-,-,-,8.774.684,,8774684.0,,,,,,,8774684.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,4.632.979,-,-,-,-,-,-,4.632.979,,4632979.0,,,,,,,4632979.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),24.968,37.818.677,-,-,-,-,-,-,37.843.645,24968.0,37818677.0,,,,,,,37843645.0
