row_label_raw,row_label_full,col_0,Quá hạn triệu đồng,Không ảnh hưởng thay đổi lãi suất triệu đồng,Đến 1 tháng triệu đồng,Từ 1 - 3 tháng triệu đồng,Từ 3 - 6 tháng triệu đồng,Từ 6 - 12 tháng triệu đồng,Từ 1 - 5 năm triệu đồng,Trên 5 năm triệu đồng,Tổng cộng triệu đồng,numeric__Quá hạn triệu đồng,numeric__Không ảnh hưởng thay đổi lãi suất triệu đồng,numeric__Đến 1 tháng triệu đồng,numeric__Từ 1 - 3 tháng triệu đồng,numeric__Từ 3 - 6 tháng triệu đồng,numeric__Từ 6 - 12 tháng triệu đồng,numeric__Từ 1 - 5 năm triệu đồng,numeric__Trên 5 năm triệu đồng,numeric__Tổng cộng triệu đồng
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tải sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,3.266.448,-,-,-,-,-,-,3.266.448,,3266448.0,,,,,,,3266448.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,27.998.988,-,-,-,-,-,-,27.998.988,,27998988.0,,,,,,,27998988.0
Tiền gửi và cho vay các TCTD khác (*),Tải sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),-,-,65.269.823,7.035.365,-,-,-,-,72.305.188,,,65269823.0,7035365.0,,,,,72305188.0
Chứng khoán kinh doanh,Tải sản > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,-,6.560.835,-,-,-,-,-,6.560.835,,,6560835.0,,,,,,6560835.0
Cho vay khách hàng và mua nợ (*),Tải sản > Cho vay khách hàng và mua nợ (*),Cho vay khách hàng và mua nợ (*),17.934.047,-,246.220.439,270.547.609,93.707.998,78.476.970,28.263.823,484.570,735.635.456,17934047.0,,246220439.0,270547609.0,93707998.0,78476970.0,28263823.0,484570.0,735635456.0
Chứng khoán đầu tư (*),Tải sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),226.635,-,20.895.655,19.408.410,17.050.017,41.041.240,41.232.799,60.230.646,200.085.402,226635.0,,20895655.0,19408410.0,17050017.0,41041240.0,41232799.0,60230646.0,200085402.0
"Góp vốn, đầu tư dài hạn (*)","Tải sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,8.531.977,-,-,-,-,-,-,8.531.977,,8531977.0,,,,,,,8531977.0
Tải sản cố định,Tải sản > Tải sản cố định,Tải sản cố định,-,4.546.761,-,-,-,-,-,-,4.546.761,,4546761.0,,,,,,,4546761.0
Tải sản Có khác (*),Tải sản > Tải sản Có khác (*),Tải sản Có khác (*),39.258,18.734.942,-,-,-,-,-,-,18.774.200,39258.0,18734942.0,,,,,,,18774200.0
