row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúctriệu đồng","Máy móc,thiết bịtriệu đồng",Phương tiện vận tảivà thiết bị truyền đãntriệu đồng,Tài sản cố địnhhửu hình kháctriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúctriệu đồng","numeric__Máy móc,thiết bịtriệu đồng",numeric__Phương tiện vận tảivà thiết bị truyền đãntriệu đồng,numeric__Tài sản cố địnhhửu hình kháctriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.509.793,3.122.957,1.386.881,933.536,7.953.167,2509793.0,3122957.0,1386881.0,933536.0,7953167.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,802,428.627,172.763,12.807,614.999,802.0,428627.0,172763.0,12807.0,614999.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,-,(215.981),(76.160),(436),(292.577),,-215981.0,-76160.0,-436.0,-292577.0
Phân loại lại trong năm,Nguyên giá > Phân loại lại trong năm,Phân loại lại trong năm,-,1.019.021,(75.484),(943.537),-,,1019021.0,-75484.0,-943537.0,
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,4,242,107,25,378,4.0,242.0,107.0,25.0,378.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.510.599,4.354.866,1.408.107,2.395,8.275.967,2510599.0,4354866.0,1408107.0,2395.0,8275967.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,695.464,2.427.670,1.075.844,490.002,4.688.980,695464.0,2427670.0,1075844.0,490002.0,4688980.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,41.931,267.893,74.504,47.523,431.851,41931.0,267893.0,74504.0,47523.0,431851.0
Thanh lý trong năm,Giá trị hao mòn luỹ kế > Thanh lý trong năm,Thanh lý trong năm,-,(96.534),(55.676),(422),(152.632),,-96534.0,-55676.0,-422.0,-152632.0
Điều chỉnh theo Kiểm toán Nhà nước,Giá trị hao mòn luỹ kế > Điều chỉnh theo Kiểm toán Nhà nước,Điều chỉnh theo Kiểm toán Nhà nước,-,1.221,-,-,1.221,,1221.0,,,1221.0
Phân loại lại trong năm,Giá trị hao mòn luỹ kế > Phân loại lại trong năm,Phân loại lại trong năm,-,605.252,(68.774),(536.478),-,,605252.0,-68774.0,-536478.0,
Chênh lệch tỷ giá,Giá trị hao mòn luỹ kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,4,203,89,24,320,4.0,203.0,89.0,24.0,320.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,737.399,3.205.705,1.025.987,649,4.969.740,737399.0,3205705.0,1025987.0,649.0,4969740.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.814.329,695.287,311.037,443.534,3.264.187,1814329.0,695287.0,311037.0,443534.0,3264187.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.773.200,1.149.161,382.120,1.746,3.306.227,1773200.0,1149161.0,382120.0,1746.0,3306227.0
