row_label_raw,row_label_full,col_0,Miền Bắc triệu đồng,Miền Trung triệu đồng,Miền Nam triệu đồng,Nước ngoài triệu đồng,Loại trừ/Phân loại triệu đồng,Tổng cộng triệu đồng,numeric__Miền Bắc triệu đồng,numeric__Miền Trung triệu đồng,numeric__Miền Nam triệu đồng,numeric__Nước ngoài triệu đồng,numeric__Loại trừ/Phân loại triệu đồng,numeric__Tổng cộng triệu đồng
Doanh thu,Doanh thu,Doanh thu,152.401.667,8.000.254,41.850.617,262.780,(99.429.805),103.085.513,152401667.0,8000254.0,41850617.0,262780.0,-99429805.0,103085513.0
1. Thu nhập lãi và các khoản thu nhập tương tự,1. Thu nhập lãi và các khoản thu nhập tương tự,1. Thu nhập lãi và các khoản thu nhập tương tự,127.144.087,6.922.073,36.114.068,211.960,(91.144.799),79.247.389,127144087.0,6922073.0,36114068.0,211960.0,-91144799.0,79247389.0
2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,6.144.511,240.256,1.859.189,11.477,-,8.255.433,6144511.0,240256.0,1859189.0,11477.0,,8255433.0
3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,19.113.069,837.925,3.877.360,39.343,(8.285.006),15.582.691,19113069.0,837925.0,3877360.0,39343.0,-8285006.0,15582691.0
Chi phí,Chi phí,Chi phí,(123.831.396),(5.252.944),(26.331.707),(201.447),95.990.344,(59.627.150),-123831396.0,-5252944.0,-26331707.0,-201447.0,95990344.0,-59627150.0
1. Chi phí lãi và các chi phí tương tự,1. Chi phí lãi và các chi phí tương tự,1. Chi phí lãi và các chi phí tương tự,(101.148.969),(4.264.844),(22.029.556),(169.668),91.144.799,(36.468.238),-101148969.0,-4264844.0,-22029556.0,-169668.0,91144799.0,-36468238.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,(806.654),(14.264),(39.768),(2.653),-,(863.339),-806654.0,-14264.0,-39768.0,-2653.0,,-863339.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(21.875.773),(973.836),(4.262.383),(29.126),4.845.545,(22.295.573),-21875773.0,-973836.0,-4262383.0,-29126.0,4845545.0,-22295573.0
Lợi nhuận thuần tử hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần tử hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần tử hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,28.570.271,2.747.310,15.518.910,61.333,(3.439.461),43.458.363,28570271.0,2747310.0,15518910.0,61333.0,-3439461.0,43458363.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(5.934.570),(627.294),(6.408.527),(38.065),3.439.461,(9.568.995),-5934570.0,-627294.0,-6408527.0,-38065.0,3439461.0,-9568995.0
Kết quả kinh doanh bộ phận (trước thuế),Kết quả kinh doanh bộ phận (trước thuế),Kết quả kinh doanh bộ phận (trước thuế),22.635.701,2.120.016,9.110.383,23.268,-,33.889.368,22635701.0,2120016.0,9110383.0,23268.0,,33889368.0
