row_label_raw,row_label_full,col_0,Thuyết minh,31/12/2025 triệu đồng,31/12/2024 triệu đồng,numeric__Thuyết minh,numeric__31/12/2025 triệu đồng,numeric__31/12/2024 triệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","TÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5,4.842.368,3.266.448,5.0,4842368.0,3266448.0
Tiền gửi tại Ngân hàng Nhà nước,TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,6,66.404.931,27.998.988,6.0,66404931.0,27998988.0
Tiền gửi và cho vay các tổ chức tín dụng khác,TÀI SẢN > Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,7,168.866.071,72.305.188,7.0,168866071.0,72305188.0
Tiền gửi tại các tổ chức tín dụng khác,TÀI SẢN > Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,,167.051.571,69.423.256,,167051571.0,69423256.0
Cho vay các tổ chức tín dụng khác,TÀI SẢN > Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,,1.814.500,2.881.932,,1814500.0,2881932.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,8,3.050.285,6.560.835,8.0,3050285.0,6560835.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,,3.050.285,6.560.835,,3050285.0,6560835.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,,1.019.471.567,724.673.270,,1019471567.0,724673270.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,9,1.031.103.706,734.594.094,9.0,1031103706.0,734594094.0
Dự phòng rủi ro cho vay khách hàng,TÀI SẢN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,10,(11.632.139),(9.920.824),10.0,-11632139.0,-9920824.0
Hoạt động mua nợ,TÀI SẢN > Hoạt động mua nợ,Hoạt động mua nợ,11,2.443.895,951.509,11.0,2443895.0,951509.0
Mua nợ,TÀI SẢN > Mua nợ,Mua nợ,,2.465.314,1.041.362,,2465314.0,1041362.0
Dự phòng rủi ro hoạt động mua nợ,TÀI SẢN > Dự phòng rủi ro hoạt động mua nợ,Dự phòng rủi ro hoạt động mua nợ,,(21.419),(89.853),,-21419.0,-89853.0
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,,212.303.235,199.621.825,,212303235.0,199621825.0
Chứng khoán đầu tư sẵn sàng để bán,TÀI SẢN > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,12.1,211.971.942,199.343.767,121.0,211971942.0,199343767.0
