row_label_raw,row_label_full,col_0,Dự phòng chung triệu đồng,Dự phòng cụ thể triệu đồng,Tổng cộng triệu đồng,numeric__Dự phòng chung triệu đồng,numeric__Dự phòng cụ thể triệu đồng,numeric__Tổng cộng triệu đồng
Số dư tại ngày 1 tháng 1 năm 2025,Số dư tại ngày 1 tháng 1 năm 2025,Số dư tại ngày 1 tháng 1 năm 2025,5.464.617,4.456.207,9.920.824,5464617.0,4456207.0,9920824.0
Trích lập trong năm (Thuyết minh 34),Trích lập trong năm (Thuyết minh 34),Trích lập trong năm (Thuyết minh 34),2.219.944,7.282.102,9.502.046,2219944.0,7282102.0,9502046.0
Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,-,(7.823.582),(7.823.582),,-7823582.0,-7823582.0
Điều chỉnh theo Kiểm toán Nhà nước,Điều chỉnh theo Kiểm toán Nhà nước,Điều chỉnh theo Kiểm toán Nhà nước,(1.444),33.942,32.498,-1444.0,33942.0,32498.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,193,160,353,193.0,160.0,353.0
Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,7.683.310,3.948.829,11.632.139,7683310.0,3948829.0,11632139.0
