row_label_raw,row_label_full,col_0,Vốn điều lệ triệu đồng,Thặng dư vốn cổ phần triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,Quỹ dự phòng tài chính triệu đồng,Quỹ khác triệu đồng,Lợi nhuận chưa phân phối triệu đồng,Tổng cộng triệu đồng,numeric__Vốn điều lệ triệu đồng,numeric__Thặng dư vốn cổ phần triệu đồng,numeric__Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,numeric__Quỹ dự phòng tài chính triệu đồng,numeric__Quỹ khác triệu đồng,numeric__Lợi nhuận chưa phân phối triệu đồng,numeric__Tổng cộng triệu đồng
Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,52.140.841,869.327,3.595.230,7.175.661,807.788,24.008.552,88.597.399,52140841.0,869327.0,3595230.0,7175661.0,807788.0,24008552.0,88597399.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,22.195.364,22.195.364,,,,,,22195364.0,22195364.0
Tăng vốn từ phát hành cổ phiếu trong năm,Tăng vốn từ phát hành cổ phiếu trong năm,Tăng vốn từ phát hành cổ phiếu trong năm,922.400,435.007,-,-,-,-,1.357.407,922400.0,435007.0,,,,,1357407.0
Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,-,-,991.527,1.983.054,498.558,(3.473.139),-,,,991527.0,1983054.0,498558.0,-3473139.0,
Trích quỹ khen thưởng và phúc lợi,Trích quỹ khen thưởng và phúc lợi,Trích quỹ khen thưởng và phúc lợi,-,-,-,-,-,(1.586.443),(1.586.443),,,,,,-1586443.0,-1586443.0
Sử dụng các quỹ trong năm,Sử dụng các quỹ trong năm,Sử dụng các quỹ trong năm,-,-,-,-,(348.289),-,(348.289),,,,,-348289.0,,-348289.0
Chia cổ tức trong năm bằng tiền,Chia cổ tức trong năm bằng tiền,Chia cổ tức trong năm bằng tiền,-,-,-,-,-,(2.643.542),(2.643.542),,,,,,-2643542.0,-2643542.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,-,-,-,(19.323),(19.323),,,,,,-19323.0,-19323.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,-,(84),(727),(811),,,,,-84.0,-727.0,-811.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,53.063.241,1.304.334,4.586.757,9.158.715,957.973,38.480.742,107.551.762,53063241.0,1304334.0,4586757.0,9158715.0,957973.0,38480742.0,107551762.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,27.329.888,27.329.888,,,,,,27329888.0,27329888.0
Tăng vốn từ phát hành cổ phiếu để trả cổ tức trong năm (i),Tăng vốn từ phát hành cổ phiếu để trả cổ tức trong năm (i),Tăng vốn từ phát hành cổ phiếu để trả cổ tức trong năm (i),27.486.758,-,-,-,-,(27.486.758),-,27486758.0,,,,,-27486758.0,
Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,-,-,2.219.536,2.219.536,556.625,(4.995.697),-,,,2219536.0,2219536.0,556625.0,-4995697.0,
Trích quỹ khen thưởng và phúc lợi,Trích quỹ khen thưởng và phúc lợi,Trích quỹ khen thưởng và phúc lợi,-,-,-,-,-,(1.775.629),(1.775.629),,,,,,-1775629.0,-1775629.0
Sử dụng các quỹ trong năm,Sử dụng các quỹ trong năm,Sử dụng các quỹ trong năm,-,-,-,-,(620.313),-,(620.313),,,,,-620313.0,,-620313.0
Chia cổ tức trong năm bằng tiền,Chia cổ tức trong năm bằng tiền,Chia cổ tức trong năm bằng tiền,-,-,-,-,-,(1.830.682),(1.830.682),,,,,,-1830682.0,-1830682.0
Điều chỉnh theo Kiểm toán Nhà nước,Điều chỉnh theo Kiểm toán Nhà nước,Điều chỉnh theo Kiểm toán Nhà nước,-,-,-,-,-,(4.336),(4.336),,,,,,-4336.0,-4336.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,-,-,-,(13.815),(13.815),,,,,,-13815.0,-13815.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,-,536,2.245,2.781,,,,,536.0,2245.0,2781.0
Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,80.549.999,1.304.334,6.806.293,11.378.251,894.821,29.705.958,130.639.656,80549999.0,1304334.0,6806293.0,11378251.0,894821.0,29705958.0,130639656.0
