row_label_raw,row_label_full,Khoản mục biển động lớn,Giá trị triệu đồng,numeric__Giá trị triệu đồng
Tăng thu nhập lãi thuần,Tăng thu nhập lãi thuần,Tăng thu nhập lãi thuần,8.476.716,8476716.0
Tăng lãi thuần từ hoạt động dịch vụ,Tăng lãi thuần từ hoạt động dịch vụ,Tăng lãi thuần từ hoạt động dịch vụ,1.827.244,1827244.0
Giảm lãi thuần từ hoạt động kinh doanh ngoại hối,Giảm lãi thuần từ hoạt động kinh doanh ngoại hối,Giảm lãi thuần từ hoạt động kinh doanh ngoại hối,(244.559),-244559.0
"Giảm lãi thuần từ mua bán chứng khoán kinh doanh, chứng khoán đầu tư và đầu tư dài hạn","Giảm lãi thuần từ mua bán chứng khoán kinh doanh, chứng khoán đầu tư và đầu tư dài hạn","Giảm lãi thuần từ mua bán chứng khoán kinh doanh, chứng khoán đầu tư và đầu tư dài hạn",(2.502.645),-2502645.0
Tăng thu nhập thuần từ hoạt động khác,Tăng thu nhập thuần từ hoạt động khác,Tăng thu nhập thuần từ hoạt động khác,1.947.281,1947281.0
"Tăng thu nhập từ góp vốn, mua cổ phần","Tăng thu nhập từ góp vốn, mua cổ phần","Tăng thu nhập từ góp vốn, mua cổ phần",1.965.897,1965897.0
Tăng chi phí hoạt động,Tăng chi phí hoạt động,Tăng chi phí hoạt động,(2.142.336),-2142336.0
Tăng chi phí dự phòng rủi ro tín dụng,Tăng chi phí dự phòng rủi ro tín dụng,Tăng chi phí dự phòng rủi ro tín dụng,(3.077.546),-3077546.0
Tăng chi phí thuế thu nhập doanh nghiệp,Tăng chi phí thuế thu nhập doanh nghiệp,Tăng chi phí thuế thu nhập doanh nghiệp,(1.115.528),-1115528.0
,,,5.134.524,5134524.0
