row_label_raw,row_label_full,"Số lượng cán bộ, công nhân viên bình quân trong năm (người)",Năm 2025 triệu đồng > 12.525,Năm 2024 triệu đồng > 11.156,numeric__Năm 2025 triệu đồng > 12.525,numeric__Năm 2024 triệu đồng > 11.156
"Tổng thu nhập của cán bộ, công nhân viên","Tổng thu nhập của cán bộ, công nhân viên","Tổng thu nhập của cán bộ, công nhân viên",6.376.277,5.364.911,6376277.0,5364911.0
Thu nhập bình quân tháng(triệu đồng/người/tháng),Thu nhập bình quân tháng(triệu đồng/người/tháng),Thu nhập bình quân tháng(triệu đồng/người/tháng),"42,42","40,07",42.42,40.07
