row_label_raw,row_label_full,col_0,Năm 2025triệu đồngGiá trị giao dịch,Năm 2024triệu đồngGiá trị giao dịch,numeric__Năm 2025triệu đồngGiá trị giao dịch,numeric__Năm 2024triệu đồngGiá trị giao dịch
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,
"Công ty Cổ phần Quản lý Quỹ Đầu tư MB (""MB Cap"")","Công ty Cổ phần Quản lý Quỹ Đầu tư MB (""MB Cap"")","Công ty Cổ phần Quản lý Quỹ Đầu tư MB (""MB Cap"")","Công ty Cổ phần Quản lý Quỹ Đầu tư MB (""MB Cap"")","Công ty Cổ phần Quản lý Quỹ Đầu tư MB (""MB Cap"")",,
- Chi phí lãi tiền gửi,"Công ty Cổ phần Quản lý Quỹ Đầu tư MB (""MB Cap"") > - Chi phí lãi tiền gửi",- Chi phí lãi tiền gửi,(6.869),(2.822),-6869.0,-2822.0
- Thu nhập từ cổ tức trong năm,"Công ty Cổ phần Quản lý Quỹ Đầu tư MB (""MB Cap"") > - Thu nhập từ cổ tức trong năm",- Thu nhập từ cổ tức trong năm,38.795,16.165,38795.0,16165.0
"Công ty Cổ phần Chứng khoán MB (""MBS"")","Công ty Cổ phần Chứng khoán MB (""MBS"")","Công ty Cổ phần Chứng khoán MB (""MBS"")","Công ty Cổ phần Chứng khoán MB (""MBS"")","Công ty Cổ phần Chứng khoán MB (""MBS"")",,
- Chi phí lãi tiền gửi,"Công ty Cổ phần Chứng khoán MB (""MBS"") > - Chi phí lãi tiền gửi",- Chi phí lãi tiền gửi,(37.337),(39.268),-37337.0,-39268.0
- Chi phí sử dụng dịch vụ của MBS,"Công ty Cổ phần Chứng khoán MB (""MBS"") > - Chi phí sử dụng dịch vụ của MBS",- Chi phí sử dụng dịch vụ của MBS,(49.442),(34.722),-49442.0,-34722.0
- Thu nhập từ cổ tức trong năm,"Công ty Cổ phần Chứng khoán MB (""MBS"") > - Thu nhập từ cổ tức trong năm",- Thu nhập từ cổ tức trong năm,524.828,418.755,524828.0,418755.0
"Công ty TNHH Quản lý Nợ và Khai thác tài sản Ngân hàng TMCP Quân đội (""MB AMC"")","Công ty TNHH Quản lý Nợ và Khai thác tài sản Ngân hàng TMCP Quân đội (""MB AMC"")","Công ty TNHH Quản lý Nợ và Khai thác tài sản Ngân hàng TMCP Quân đội (""MB AMC"")","Công ty TNHH Quản lý Nợ và Khai thác tài sản Ngân hàng TMCP Quân đội (""MB AMC"")","Công ty TNHH Quản lý Nợ và Khai thác tài sản Ngân hàng TMCP Quân đội (""MB AMC"")",,
- Chi phí lãi tiền gửi,"Công ty TNHH Quản lý Nợ và Khai thác tài sản Ngân hàng TMCP Quân đội (""MB AMC"") > - Chi phí lãi tiền gửi",- Chi phí lãi tiền gửi,(6.682),(5.010),-6682.0,-5010.0
- Thu phí dịch vụ,"Công ty TNHH Quản lý Nợ và Khai thác tài sản Ngân hàng TMCP Quân đội (""MB AMC"") > - Thu phí dịch vụ",- Thu phí dịch vụ,92.012,92.627,92012.0,92627.0
"- Chi phí quản lý dự án, định giá và thẩm định tài sản","Công ty TNHH Quản lý Nợ và Khai thác tài sản Ngân hàng TMCP Quân đội (""MB AMC"") > - Chi phí quản lý dự án, định giá và thẩm định tài sản","- Chi phí quản lý dự án, định giá và thẩm định tài sản",(275.807),(248.909),-275807.0,-248909.0
- Chi phí thu hồi nợ và thẩm định,"Công ty TNHH Quản lý Nợ và Khai thác tài sản Ngân hàng TMCP Quân đội (""MB AMC"") > - Chi phí thu hồi nợ và thẩm định",- Chi phí thu hồi nợ và thẩm định,(736.966),(586.232),-736966.0,-586232.0
- Chi phí thuê văn phòng và phí quản lý,"Công ty TNHH Quản lý Nợ và Khai thác tài sản Ngân hàng TMCP Quân đội (""MB AMC"") > - Chi phí thuê văn phòng và phí quản lý",- Chi phí thuê văn phòng và phí quản lý,(138.407),(117.256),-138407.0,-117256.0
- Lợi nhuận được chia trong năm,"Công ty TNHH Quản lý Nợ và Khai thác tài sản Ngân hàng TMCP Quân đội (""MB AMC"") > - Lợi nhuận được chia trong năm",- Lợi nhuận được chia trong năm,479.550,368.770,479550.0,368770.0
"Công ty Tài chính Tín dụng Tiêu dùng Trách nhiệm hữu hạn MB Shinsei (""Mcredit"")","Công ty Tài chính Tín dụng Tiêu dùng Trách nhiệm hữu hạn MB Shinsei (""Mcredit"")","Công ty Tài chính Tín dụng Tiêu dùng Trách nhiệm hữu hạn MB Shinsei (""Mcredit"")","Công ty Tài chính Tín dụng Tiêu dùng Trách nhiệm hữu hạn MB Shinsei (""Mcredit"")","Công ty Tài chính Tín dụng Tiêu dùng Trách nhiệm hữu hạn MB Shinsei (""Mcredit"")",,
- Thu nhập lãi tiền gửi,"Công ty Tài chính Tín dụng Tiêu dùng Trách nhiệm hữu hạn MB Shinsei (""Mcredit"") > - Thu nhập lãi tiền gửi",- Thu nhập lãi tiền gửi,441.061,157.669,441061.0,157669.0
- Chi phí lãi tiền gửi,"Công ty Tài chính Tín dụng Tiêu dùng Trách nhiệm hữu hạn MB Shinsei (""Mcredit"") > - Chi phí lãi tiền gửi",- Chi phí lãi tiền gửi,(59.980),(12.758),-59980.0,-12758.0
"Tổng Công ty Cổ phần Bảo hiểm Quân đội (""MIC"")","Tổng Công ty Cổ phần Bảo hiểm Quân đội (""MIC"")","Tổng Công ty Cổ phần Bảo hiểm Quân đội (""MIC"")","Tổng Công ty Cổ phần Bảo hiểm Quân đội (""MIC"")","Tổng Công ty Cổ phần Bảo hiểm Quân đội (""MIC"")",,
- Thu nhập từ hoạt động bảo hiểm,"Tổng Công ty Cổ phần Bảo hiểm Quân đội (""MIC"") > - Thu nhập từ hoạt động bảo hiểm",- Thu nhập từ hoạt động bảo hiểm,68.535,119.413,68535.0,119413.0
- Chi phí lãi tiền gửi,"Tổng Công ty Cổ phần Bảo hiểm Quân đội (""MIC"") > - Chi phí lãi tiền gửi",- Chi phí lãi tiền gửi,(33.106),(38.079),-33106.0,-38079.0
- Chi phí bảo hiểm,"Tổng Công ty Cổ phần Bảo hiểm Quân đội (""MIC"") > - Chi phí bảo hiểm",- Chi phí bảo hiểm,(67.937),(62.372),-67937.0,-62372.0
- Cổ tức trong năm,"Tổng Công ty Cổ phần Bảo hiểm Quân đội (""MIC"") > - Cổ tức trong năm",- Cổ tức trong năm,68.164,118.062,68164.0,118062.0
Công ty TNHH Bảo hiểm Nhân thọ MB Ageas,Công ty TNHH Bảo hiểm Nhân thọ MB Ageas,Công ty TNHH Bảo hiểm Nhân thọ MB Ageas,Công ty TNHH Bảo hiểm Nhân thọ MB Ageas,Công ty TNHH Bảo hiểm Nhân thọ MB Ageas,,
- Chi phí lãi tiền gửi,Công ty TNHH Bảo hiểm Nhân thọ MB Ageas > - Chi phí lãi tiền gửi,- Chi phí lãi tiền gửi,(151.929),(119.743),-151929.0,-119743.0
- Thu từ hợp đồng đại lý bảo hiểm,Công ty TNHH Bảo hiểm Nhân thọ MB Ageas > - Thu từ hợp đồng đại lý bảo hiểm,- Thu từ hợp đồng đại lý bảo hiểm,1.041.578,907.722,1041578.0,907722.0
- Thu nhập từ cổ tức trong năm,Công ty TNHH Bảo hiểm Nhân thọ MB Ageas > - Thu nhập từ cổ tức trong năm,- Thu nhập từ cổ tức trong năm,67.100,-,67100.0,
Ngân hàng Đại chúng TNHH MB Campuchia,Ngân hàng Đại chúng TNHH MB Campuchia,Ngân hàng Đại chúng TNHH MB Campuchia,Ngân hàng Đại chúng TNHH MB Campuchia,Ngân hàng Đại chúng TNHH MB Campuchia,,
- Thu nhập lãi tiền gửi,Ngân hàng Đại chúng TNHH MB Campuchia > - Thu nhập lãi tiền gửi,- Thu nhập lãi tiền gửi,87.567,63.207,87567.0,63207.0
Cổ đông lớn,Cổ đông lớn,Cổ đông lớn,Cổ đông lớn,Cổ đông lớn,,
- Chi phí lãi tiền gửi,Cổ đông lớn > - Chi phí lãi tiền gửi,- Chi phí lãi tiền gửi,(1.649.495),(1.728.013),-1649495.0,-1728013.0
- Chi trả cổ tức bằng tiền mặt trong năm,Cổ đông lớn > - Chi trả cổ tức bằng tiền mặt trong năm,- Chi trả cổ tức bằng tiền mặt trong năm,(729.772),(1.062.442),-729772.0,-1062442.0
