row_label_raw,row_label_full,col_0,31/12/2025 > %/năm,31/12/2024 > %/năm,numeric__31/12/2025 > %/năm,numeric__31/12/2024 > %/năm
Cho vay bằng VND,Cho vay bằng VND,Cho vay bằng VND,"3,50 - 13,00","3,50 - 13,00",,
Cho vay bằng ngoại tệ,Cho vay bằng ngoại tệ,Cho vay bằng ngoại tệ,"3,50 - 8,00","3,50 - 8,00",,
