row_label_raw,row_label_full,col_0,Quyền sử dụngđất có thời hạntriệu đồng,Phần mềmmáy vi tínhtriệu đồng,Tổng cộngtriệu đồng,numeric__Quyền sử dụngđất có thời hạntriệu đồng,numeric__Phần mềmmáy vi tínhtriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.136.125,2.592.601,3.728.726,1136125.0,2592601.0,3728726.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,32.212,527.397,559.609,32212.0,527397.0,559609.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(104.994),(104.994),,-104994.0,-104994.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,188,188,,188.0,188.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.168.337,3.015.192,4.183.529,1168337.0,3015192.0,4183529.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,259.380,2.186.772,2.446.152,259380.0,2186772.0,2446152.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,20.870,410.618,431.488,20870.0,410618.0,431488.0
Thanh lý,Giá trị hao mòn luỹ kế > Thanh lý,Thanh lý,-,(20.922),(20.922),,-20922.0,-20922.0
Chênh lệch tỷ giá,Giá trị hao mòn luỹ kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,59,59,,59.0,59.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,280.250,2.576.527,2.856.777,280250.0,2576527.0,2856777.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,876.745,405.829,1.282.574,876745.0,405829.0,1282574.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,888.087,438.665,1.326.752,888087.0,438665.0,1326752.0
