row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng cộng triệu đồng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng cộng triệu đồng
,,,Trên 3 tháng triệu đồng,Đền 3 tháng triệu đồng,Đền 1 tháng triệu đồng,Từ 1 đến 3 tháng triệu đồng,Từ 3 đến 12 tháng triệu đồng,Từ 1 đến 5 năm triệu đồng,Trên 5 năm triệu đồng,Tổng cộng triệu đồng,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,3.266.448,-,-,-,-,3.266.448,,,3266448.0,,,,,3266448.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,27.998.988,-,-,-,-,27.998.988,,,27998988.0,,,,,27998988.0
Tiền gửi và cho vay các TCTD khác (*),Tài sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),-,-,65.269.823,7.035.365,-,-,-,72.305.188,,,65269823.0,7035365.0,,,,72305188.0
Chứng khoán kinh doanh,Tài sản > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,-,6.560.835,-,-,-,-,6.560.835,,,6560835.0,,,,,6560835.0
Cho vay khách hàng và mua nợ (*),Tài sản > Cho vay khách hàng và mua nợ (*),Cho vay khách hàng và mua nợ (*),10.618.096,7.315.951,39.114.051,109.719.391,280.426.342,142.731.863,145.709.762,735.635.456,10618096.0,7315951.0,39114051.0,109719391.0,280426342.0,142731863.0,145709762.0,735635456.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),226.635,-,2.003.036,8.692.059,61.594.766,50.798.605,76.770.301,200.085.402,226635.0,,2003036.0,8692059.0,61594766.0,50798605.0,76770301.0,200085402.0
"Đầu tư, góp vốn dài hạn (*)","Tài sản > Đầu tư, góp vốn dài hạn (*)","Đầu tư, góp vốn dài hạn (*)",-,-,-,-,-,8.531.977,-,8.531.977,,,,,,8531977.0,,8531977.0
Tải sản cố định,Tài sản > Tải sản cố định,Tải sản cố định,-,-,-,-,-,4.546.761,-,4.546.761,,,,,,4546761.0,,4546761.0
