row_label_raw,row_label_full,col_0,Tổng nợ cho vay khách hàng triệu đồng,"Tổng tiền gửi, cho vay tại NHNN và các TCTD khác triệu đồng",Cam kết ngoại bảng triệu đồng,Công cụ tài chính phái sinh triệu đồng,Kinh doanh và đầu tư chứng khoán triệu đồng,numeric__Tổng nợ cho vay khách hàng triệu đồng,"numeric__Tổng tiền gửi, cho vay tại NHNN và các TCTD khác triệu đồng",numeric__Cam kết ngoại bảng triệu đồng,numeric__Công cụ tài chính phái sinh triệu đồng,numeric__Kinh doanh và đầu tư chứng khoán triệu đồng
Trong nước,Trong nước,Trong nước,1.029.884.445,234.347.684,377.893.202,698.507,215.508.048,1029884445.0,234347684.0,377893202.0,698507.0,215508048.0
Nước ngoài,Nước ngoài,Nước ngoài,1.219.261,923.318,553.516,-,51.179,1219261.0,923318.0,553516.0,,51179.0
,,,1.031.103.706,235.271.002,378.446.718,698.507,215.559.227,1031103706.0,235271002.0,378446718.0,698507.0,215559227.0
