row_label_raw,row_label_full,Tên công ty con,Tên công ty con_1,Lĩnh vực kinh doanh,Trụ sở,Tình trạng hoạt động,Tỷ lệ sở hữu và biểu quyết (%),numeric__Tên công ty con_1,numeric__Lĩnh vực kinh doanh,numeric__Trụ sở,numeric__Tình trạng hoạt động,numeric__Tỷ lệ sở hữu và biểu quyết (%)
1.,1.,1.,"Công ty TNHH Công nghiệp và Nông nghiệp Cao su Hoàng Anh - Quang Minh (""Hoàng Anh - Quang Minh"")",Nông nghiệp và chăn nuôi,"Sekong, Lào",Đang hoạt động,"97,77",,,,,97.77
2.,2.,2.,Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Nông nghiệp và chăn nuôi,"Gia Lai, Việt Nam",Đang hoạt động,"97,77",,,,,97.77
3.,3.,3.,"Công ty Cổ phần Hoàng Anh Đắk Lắk (""Hoàng Anh Đắk Lắk"")",Nông nghiệp và chăn nuôi,"Đắk Lắk, Việt Nam",Đang hoạt động,"99,53",,,,,99.53
4.,4.,4.,"Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu (""Hoàng Anh Attapeu"")","Nông nghiệp, chăn nuôi và xây dựng","Attapeu, Lào",Đang hoạt động,"100,00",,,,,100.0
5.,5.,5.,Công ty TNHH Hoàng Anh Rattanakiri,Nông nghiệp,"Ratanakiri, Campuchia",Trước hoạt động,"100,00",,,,,100.0
6.,6.,6.,Công ty TNHH Heng Brothers,Nông nghiệp,"Ratanakiri, Campuchia",Đang hoạt động,"100,00",,,,,100.0
7.,7.,7.,Công ty TNHH Hoàng Anh Oyadav,Nông nghiệp,"Ratanakiri, Campuchia",Trước hoạt động,"100,00",,,,,100.0
8.,8.,8.,Công ty TNHH CRD,Nông nghiệp,"Ratanakiri, Campuchia",Trước hoạt động,"100,00",,,,,100.0
9.,9.,9.,Công ty TNHH MTV Hoàng Anh Andong Meas,Nông nghiệp và chăn nuôi,"Ratanakiri, Campuchia",Đang hoạt động,"97,77",,,,,97.77
10.,10.,10.,"Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai (""Xuất Nhập khẩu Hoàng Anh Gia Lai"")",Thương mại,"Gia Lai, Việt Nam",Đang hoạt động,"100,00",,,,,100.0
11.,11.,11.,"Công ty Cổ phần Bò sữa Tây Nguyên (""Bò sữa Tây Nguyên"")",Chăn nuôi,"Gia Lai, Việt Nam",Đang hoạt động,"99,00",,,,,99.0
12.,12.,12.,"Công ty Cổ phần Đông Pênh (""Đồng Pênh"")",Nông nghiệp,"Gia Lai, Việt Nam",Đang hoạt động,"99,90",,,,,99.9
13.,13.,13.,"Công ty TNHH Một Thành viên Nông nghiệp Daun Penh (""Daun Penh"")",Nông nghiệp,"Ratanakiri, Campuchia",Đang hoạt động,"99,90",,,,,99.9
