row_label_raw,row_label_full,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty mẹ,Lãi vay,(77.623.144),(256.888.296),numeric__Công ty mẹ,numeric__Lãi vay,numeric__(77.623.144),numeric__(256.888.296)
Công ty Cổ phần Ô tô Trường Hải,Công ty Cổ phần Ô tô Trường Hải,Công ty Cổ phần Ô tô Trường Hải,Công ty có cùng thành viên HĐQT,Lãi vay,(6.259.160),-,,,-6259160.0,
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên quan (đến ngày 20 tháng 3 năm 2018),Lãi vay,-,(40.329.333),,,,-40329333.0
Công ty Cổ phần Hưng Thắng Lợi Gia Lai,Công ty Cổ phần Hưng Thắng Lợi Gia Lai,Công ty Cổ phần Hưng Thắng Lợi Gia Lai,Công ty trong cùng Tập đoàn,Lãi vay,-,(10.120.174),,,,-10120174.0
Công ty Cổ phần Thuỷ điện Hoàng Anh Gia Lai,Công ty Cổ phần Thuỷ điện Hoàng Anh Gia Lai,Công ty Cổ phần Thuỷ điện Hoàng Anh Gia Lai,Công ty trong cùng Tập đoàn,Lãi vay,-,(5.260.420),,,,-5260420.0
,,,,,(83.882.304),(312.598.223),,,-83882304.0,-312598223.0
