row_label_raw,row_label_full,col_0,Năm nay,Ngân VNDNăm trước,numeric__Năm nay,numeric__Ngân VNDNăm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
Chi phí vận chuyển,Chi phí bán hàng > Chi phí vận chuyển,Chi phí vận chuyển,109.693.562,59.002.160,109693562.0,59002160.0
Chi phí dịch vụ mua ngoài,Chi phí bán hàng > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,22.632.265,18.612.095,22632265.0,18612095.0
Chi phí nhân viên,Chi phí bán hàng > Chi phí nhân viên,Chi phí nhân viên,10.211.387,9.510.999,10211387.0,9510999.0
Chi phí khấu hao,Chi phí bán hàng > Chi phí khấu hao,Chi phí khấu hao,2.188.094,1.956.253,2188094.0,1956253.0
Khác,Chi phí bán hàng > Khác,Khác,4.653.129,4.190.036,4653129.0,4190036.0
,,,149.378.437,93.271.543,149378437.0,93271543.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
Phân bổ lợi thế thương mại (TM số 17),Chi phí quản lý doanh nghiệp > Phân bổ lợi thế thương mại (TM số 17),Phân bổ lợi thế thương mại (TM số 17),408.570.987,408.570.987,408570987.0,408570987.0
Chi phí nhân viên,Chi phí quản lý doanh nghiệp > Chi phí nhân viên,Chi phí nhân viên,56.185.369,63.523.379,56185369.0,63523379.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,28.800.846,21.521.250,28800846.0,21521250.0
Chi phí khấu hao và hao mòn,Chi phí quản lý doanh nghiệp > Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,14.120.863,14.854.390,14120863.0,14854390.0
Chi phí lập dự phòng,Chi phí quản lý doanh nghiệp > Chi phí lập dự phòng,Chi phí lập dự phòng,11.647.070,7.862.806,11647070.0,7862806.0
Khác,Chi phí quản lý doanh nghiệp > Khác,Khác,165.651.493,68.855.766,165651493.0,68855766.0
,,,684.976.628,585.188.578,684976628.0,585188578.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,834.355.065,678.460.121,834355065.0,678460121.0
