row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải thu nhân viên,Ngắn hạn > Phải thu nhân viên,Phải thu nhân viên,159.925.897,72.631.171,159925897.0,72631171.0
Lãi cho vay,Ngắn hạn > Lãi cho vay,Lãi cho vay,9.955.931,61.470.348,9955931.0,61470348.0
Cho mượn các công ty,Ngắn hạn > Cho mượn các công ty,Cho mượn các công ty,5.777.694,17.589.684,5777694.0,17589684.0
Khác,Ngắn hạn > Khác,Khác,36.544.831,74.487.918,36544831.0,74487918.0
,,,212.204.353,226.179.121,212204353.0,226179121.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Ký quỹ,Dài hạn > Ký quỹ,Ký quỹ,6.556.215,6.080.073,6556215.0,6080073.0
Lãi cho vay các công ty,Dài hạn > Lãi cho vay các công ty,Lãi cho vay các công ty,-,266.086.939,,266086939.0
Cho mượn các công ty,Dài hạn > Cho mượn các công ty,Cho mượn các công ty,-,248.004.788,,248004788.0
Phải thu từ hợp đồng hợp tác kinh doanh,Dài hạn > Phải thu từ hợp đồng hợp tác kinh doanh,Phải thu từ hợp đồng hợp tác kinh doanh,-,125.750.981,,125750981.0
,,,6.556.215,645.922.781,6556215.0,645922781.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,218.760.568,872.101.902,218760568.0,872101902.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu từ các bên thứ ba,Trong đó: > Phải thu từ các bên thứ ba,Phải thu từ các bên thứ ba,209.273.580,104.447.411,209273580.0,104447411.0
Phải thu từ các bên liên quan (TM số 33),Phải thu từ các bên liên quan (TM số 33),Phải thu từ các bên liên quan (TM số 33),,,,
- Ngắn hạn,Phải thu từ các bên liên quan (TM số 33) > - Ngắn hạn,- Ngắn hạn,9.486.988,127.811.783,9486988.0,127811783.0
- Dài hạn,Phải thu từ các bên liên quan (TM số 33) > - Dài hạn,- Dài hạn,-,639.842.708,,639842708.0
