row_label_raw,row_label_full,col_0,Vay ngắn hạn,Vay dài hạn,Ngàn VND Tổng cộng,numeric__Vay ngắn hạn,numeric__Vay dài hạn,numeric__Ngàn VND Tổng cộng
Số đầu năm,Số đầu năm,Số đầu năm,1.725.058.592,12.436.181.455,14.161.240.047,1725058592.0,12436181455.0,14161240047.0
Tiền thu từ đi vay,Tiền thu từ đi vay,Tiền thu từ đi vay,3.237.959.857,954.562.380,4.192.522.237,3237959857.0,954562380.0,4192522237.0
Tiền thu từ phát hành trái phiếu,Tiền thu từ phát hành trái phiếu,Tiền thu từ phát hành trái phiếu,2.217.100.000,-,2.217.100.000,2217100000.0,,2217100000.0
Cấu phần vốn của trái phiếu chuyển đổi,Cấu phần vốn của trái phiếu chuyển đổi,Cấu phần vốn của trái phiếu chuyển đổi,(105.576.190),-,(105.576.190),-105576190.0,,-105576190.0
Giá trị phân bổ lũy kế phần giá trịchiết khấu của trái phiếu chuyển đổi,Giá trị phân bổ lũy kế phần giá trịchiết khấu của trái phiếu chuyển đổi,Giá trị phân bổ lũy kế phần giá trịchiết khấu của trái phiếu chuyển đổi,41.941.226,-,41.941.226,41941226.0,,41941226.0
Tiền chi trả nợ gốc vay,Tiền chi trả nợ gốc vay,Tiền chi trả nợ gốc vay,(1.742.692.910),(1.728.552.822),(3.471.245.732),-1742692910.0,-1728552822.0,-3471245732.0
Chuyển đổi khoản phải trả thành nợ vay,Chuyển đổi khoản phải trả thành nợ vay,Chuyển đổi khoản phải trả thành nợ vay,200.000.000,1.404.954.952,1.604.954.952,200000000.0,1404954952.0,1604954952.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,1.279.917.215,(1.279.917.215),-,1279917215.0,-1279917215.0,
Cán trừ với khoản phải thu,Cán trừ với khoản phải thu,Cán trừ với khoản phải thu,(993.125.783),(2.261.455.063),(3.254.580.846),-993125783.0,-2261455063.0,-3254580846.0
Chi phí phát trái phiếu,Chi phí phát trái phiếu,Chi phí phát trái phiếu,(252.333),7.754.925,7.502.592,-252333.0,7754925.0,7502592.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,18.576.865,17.564.118,36.140.983,18576865.0,17564118.0,36140983.0
Số cuối năm,Số cuối năm,Số cuối năm,5.878.906.539,9.551.092.730,15.429.999.269,5878906539.0,9551092730.0,15429999269.0
