row_label_raw,row_label_full,col_0,Chương trình phần mềm,Quyền sử dụng đất,Ngàn VND Tổng cộng,numeric__Chương trình phần mềm,numeric__Quyền sử dụng đất,numeric__Ngàn VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm và số cuối năm,Nguyên giá > Số đầu năm và số cuối năm,Số đầu năm và số cuối năm,48.197.185,6.648.075,54.845.260,48197185.0,6648075.0,54845260.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,
Số đầu năm,Hao mòn lũy kế > Số đầu năm,Số đầu năm,(23.766.614),(914.110),(24.680.724),-23766614.0,-914110.0,-24680724.0
Hao mòn trong năm,Hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,(5.982.998),(332.403),(6.315.401),-5982998.0,-332403.0,-6315401.0
Số cuối năm,Hao mòn lũy kế > Số cuối năm,Số cuối năm,(29.749.612),(1.246.513),(30.996.125),-29749612.0,-1246513.0,-30996125.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,24.430.571,5.733.965,30.164.536,24430571.0,5733965.0,30164536.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,18.447.573,5.401.562,23.849.135,18447573.0,5401562.0,23849135.0
