row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải trả tiền mượn các công ty và cá nhân,Ngắn hạn > Phải trả tiền mượn các công ty và cá nhân,Phải trả tiền mượn các công ty và cá nhân,383.737.755,465.529.914,383737755.0,465529914.0
Phải trả tiền thuê đất,Ngắn hạn > Phải trả tiền thuê đất,Phải trả tiền thuê đất,77.030.840,51.528.927,77030840.0,51528927.0
Nợ vay sẽ hoán đổi thành vốn (TM số 24.1),Ngắn hạn > Nợ vay sẽ hoán đổi thành vốn (TM số 24.1),Nợ vay sẽ hoán đổi thành vốn (TM số 24.1),-,1.197.000.000,,1197000000.0
Phải trả về hợp tác kinh doanh,Ngắn hạn > Phải trả về hợp tác kinh doanh,Phải trả về hợp tác kinh doanh,-,150.000.000,,150000000.0
Phải trả ngắn hạn khác,Ngắn hạn > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,30.770.128,167.276.273,30770128.0,167276273.0
,,,491.538.723,2.031.335.114,491538723.0,2031335114.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Phải trả về hợp tác kinh doanh (i),Dài hạn > Phải trả về hợp tác kinh doanh (i),Phải trả về hợp tác kinh doanh (i),550.000.000,1.064.788.888,550000000.0,1064788888.0
Phải trả tiền mượn công ty và cá nhân,Dài hạn > Phải trả tiền mượn công ty và cá nhân,Phải trả tiền mượn công ty và cá nhân,326.733.232,653.972.343,326733232.0,653972343.0
Phải trả tiền thuê đất,Dài hạn > Phải trả tiền thuê đất,Phải trả tiền thuê đất,112.132.020,135.665.953,112132020.0,135665953.0
,,,988.865.252,1.854.427.184,988865252.0,1854427184.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.480.403.975,3.885.762.298,1480403975.0,3885762298.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả các bên thứ ba,Trong đó: > Phải trả các bên thứ ba,Phải trả các bên thứ ba,402.985.441,1.098.896.957,402985441.0,1098896957.0
Phải trả các bên liên quan (TM số 33),Phải trả các bên liên quan (TM số 33),Phải trả các bên liên quan (TM số 33),,,,
- Ngắn hạn,Phải trả các bên liên quan (TM số 33) > - Ngắn hạn,- Ngắn hạn,223.267.663,1.084.916.855,223267663.0,1084916855.0
- Dài hạn,Phải trả các bên liên quan (TM số 33) > - Dài hạn,- Dài hạn,854.150.871,1.701.948.486,854150871.0,1701948486.0
