row_label_raw,row_label_full,col_0,Năm nay,Ngàn VNDNăm trước,numeric__Năm nay,numeric__Ngàn VNDNăm trước
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,,
Thu nhập từ thanh lý tài sản,Thu nhập khác > Thu nhập từ thanh lý tài sản,Thu nhập từ thanh lý tài sản,-,128.071.673,,128071673.0
Nợ thuế được miễn,Thu nhập khác > Nợ thuế được miễn,Nợ thuế được miễn,-,97.015.393,,97015393.0
Khác,Thu nhập khác > Khác,Khác,20.710.867,20.010.634,20710867.0,20010634.0
,,,20.710.867,245.097.700,20710867.0,245097700.0
Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,,
Chi phí thay đổi mục đích sử dụng tài sản,Chi phí khác > Chi phí thay đổi mục đích sử dụng tài sản,Chi phí thay đổi mục đích sử dụng tài sản,(299.178.838),(281.526.530),-299178838.0,-281526530.0
Chi phí phát triển vườn cây,Chi phí khác > Chi phí phát triển vườn cây,Chi phí phát triển vườn cây,(242.662.681),(95.009.476),-242662681.0,-95009476.0
Lỗ từ thanh lý tài sản cố định,Chi phí khác > Lỗ từ thanh lý tài sản cố định,Lỗ từ thanh lý tài sản cố định,(79.563.818),-,-79563818.0,
Khấu hao tài sản ngưng sử dụng,Chi phí khác > Khấu hao tài sản ngưng sử dụng,Khấu hao tài sản ngưng sử dụng,(29.728.088),(17.839.722),-29728088.0,-17839722.0
Các khoản phạt,Chi phí khác > Các khoản phạt,Các khoản phạt,(26.972.709),(10.616.826),-26972709.0,-10616826.0
Khác,Chi phí khác > Khác,Khác,(83.990.460),(67.125.334),-83990460.0,-67125334.0
,,,(762.096.594),(472.117.888),-762096594.0,-472117888.0
Lỗ KHÁC,Chi phí khác > Lỗ KHÁC,Lỗ KHÁC,(741.385.727),(227.020.188),-741385727.0,-227020188.0
