row_label_raw,row_label_full,col_0,Năm nay,Ngàn VNDNăm trước,numeric__Năm nay,numeric__Ngàn VNDNăm trước
(Lỗ) lợi nhuận kế toán trước thuế,(Lỗ) lợi nhuận kế toán trước thuế,(Lỗ) lợi nhuận kế toán trước thuế,(625.763.066),441.254.781,-625763066.0,441254781.0
Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,,
Các khoản lỗ của các công ty con,Điều chỉnh cho các khoản: > Các khoản lỗ của các công ty con,Các khoản lỗ của các công ty con,842.321.736,416.740.574,842321736.0,416740574.0
Chi phí phân bổ lợi thế thương mại,Điều chỉnh cho các khoản: > Chi phí phân bổ lợi thế thương mại,Chi phí phân bổ lợi thế thương mại,408.570.987,408.570.987,408570987.0,408570987.0
Thay đổi lợi nhuận nội bộ chưa thực hiện,Điều chỉnh cho các khoản: > Thay đổi lợi nhuận nội bộ chưa thực hiện,Thay đổi lợi nhuận nội bộ chưa thực hiện,(20.241.725),74.529.370,-20241725.0,74529370.0
Lợi nhuận từ hoạt động được miễn thuế,Điều chỉnh cho các khoản: > Lợi nhuận từ hoạt động được miễn thuế,Lợi nhuận từ hoạt động được miễn thuế,(399.605.472),(146.013.144),-399605472.0,-146013144.0
Dự phòng các khoản đầu tư vào khoản đầu tư,Điều chỉnh cho các khoản: > Dự phòng các khoản đầu tư vào khoản đầu tư,Dự phòng các khoản đầu tư vào khoản đầu tư,(214.456.985),(59.582.399),-214456985.0,-59582399.0
Lỗ từ công ty liên kết,Điều chỉnh cho các khoản: > Lỗ từ công ty liên kết,Lỗ từ công ty liên kết,11.458.148,24.885.213,11458148.0,24885213.0
Chênh lệch tỷ giá hối đoái,Điều chỉnh cho các khoản: > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,(97.302.362),(73.893.319),-97302362.0,-73893319.0
Các khoản chi phí không được khấu trừ,Điều chỉnh cho các khoản: > Các khoản chi phí không được khấu trừ,Các khoản chi phí không được khấu trừ,9.857.984,16.621.411,9857984.0,16621411.0
Thặng dư từ việc thanh lý công ty con,Điều chỉnh cho các khoản: > Thặng dư từ việc thanh lý công ty con,Thặng dư từ việc thanh lý công ty con,(73.082.312),(716.379.791),-73082312.0,-716379791.0
Chênh lệch lãi vay ở khía cạnh hợp nhất,Điều chỉnh cho các khoản: > Chênh lệch lãi vay ở khía cạnh hợp nhất,Chênh lệch lãi vay ở khía cạnh hợp nhất,76.088.699,130.426.483,76088699.0,130426483.0
Cấn trừ lỗ năm trước,Điều chỉnh cho các khoản: > Cấn trừ lỗ năm trước,Cấn trừ lỗ năm trước,-,(559.282.330),,-559282330.0
Các khoản khác,Điều chỉnh cho các khoản: > Các khoản khác,Các khoản khác,82.154.368,147.954.027,82154368.0,147954027.0
Thu nhập chịu thuế ước tính trong năm hiện hành,Điều chỉnh cho các khoản: > Thu nhập chịu thuế ước tính trong năm hiện hành,Thu nhập chịu thuế ước tính trong năm hiện hành,-,105.831.863,,105831863.0
Thuế TNDN hiện hành ước tính,Điều chỉnh cho các khoản: > Thuế TNDN hiện hành ước tính,Thuế TNDN hiện hành ước tính,499.451,22.297.875,499451.0,22297875.0
Điều chỉnh thuế TNDN trích (thừa) thiếu của năm trước,Điều chỉnh cho các khoản: > Điều chỉnh thuế TNDN trích (thừa) thiếu của năm trước,Điều chỉnh thuế TNDN trích (thừa) thiếu của năm trước,(4.647.050),1.592.205,-4647050.0,1592205.0
(Thu nhập) chi phí thuế TNDN hiện hành ước tính trong năm,Điều chỉnh cho các khoản: > (Thu nhập) chi phí thuế TNDN hiện hành ước tính trong năm,(Thu nhập) chi phí thuế TNDN hiện hành ước tính trong năm,(4.147.599),23.890.080,-4147599.0,23890080.0
Thuế TNDN phải nộp đầu năm,Điều chỉnh cho các khoản: > Thuế TNDN phải nộp đầu năm,Thuế TNDN phải nộp đầu năm,38.237.764,10.255.096,38237764.0,10255096.0
Thuế TNDN được hoàn trong năm,Điều chỉnh cho các khoản: > Thuế TNDN được hoàn trong năm,Thuế TNDN được hoàn trong năm,-,1.225.741,,1225741.0
Thuế TNDN đã trả trong năm,Điều chỉnh cho các khoản: > Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,(3.881.946),(1.000.064),-3881946.0,-1000064.0
Các khoản (giảm) tăng khác,Điều chỉnh cho các khoản: > Các khoản (giảm) tăng khác,Các khoản (giảm) tăng khác,(158.662),3.866.911,-158662.0,3866911.0
Thuế TNDN phải nộp cuối năm,Điều chỉnh cho các khoản: > Thuế TNDN phải nộp cuối năm,Thuế TNDN phải nộp cuối năm,30.049.557,38.237.764,30049557.0,38237764.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Thuế TNDN phải trả (TM số 20),Trong đó: > Thuế TNDN phải trả (TM số 20),Thuế TNDN phải trả (TM số 20),30.335.388,38.523.595,30335388.0,38523595.0
Thuế TNDN trả trước,Trong đó: > Thuế TNDN trả trước,Thuế TNDN trả trước,(285.831),(285.831),-285831.0,-285831.0
