row_label_raw,row_label_full,Giá trị đầu tư > Số đầu năm,CNGL > Giá trị đầu tư > 589.200.000,Bidiphar > Giá trị đầu tư > 286.004.636,Ngàn VNDGiá trị > Giá trị đầu tư > 875.204.636,numeric__CNGL > Giá trị đầu tư > 589.200.000,numeric__Bidiphar > Giá trị đầu tư > 286.004.636,numeric__Ngàn VNDGiá trị > Giá trị đầu tư > 875.204.636
Thanh lý công ty liên kết,Thanh lý công ty liên kết,Thanh lý công ty liên kết,(589.200.000),-,(589.200.000),-589200000.0,,-589200000.0
Số cuối năm,Số cuối năm,Số cuối năm,-,286.004.636,286.004.636,,286004636.0,286004636.0
Phần lãi (lỗ) lũy kế sau khi đầu tư,Phần lãi (lỗ) lũy kế sau khi đầu tư,Phần lãi (lỗ) lũy kế sau khi đầu tư,Phần lãi (lỗ) lũy kế sau khi đầu tư,Phần lãi (lỗ) lũy kế sau khi đầu tư,Phần lãi (lỗ) lũy kế sau khi đầu tư,,,
Số đầu năm,Phần lãi (lỗ) lũy kế sau khi đầu tư > Số đầu năm,Số đầu năm,(24.858.111),11.145.185,(13.712.926),-24858111.0,11145185.0,-13712926.0
Phần lãi (lỗ) từ công ty liên kết trong năm,Phần lãi (lỗ) lũy kế sau khi đầu tư > Phần lãi (lỗ) từ công ty liên kết trong năm,Phần lãi (lỗ) từ công ty liên kết trong năm,(24.214.074),12.755.926,(11.458.148),-24214074.0,12755926.0,-11458148.0
Thanh lý công ty liên kết,Phần lãi (lỗ) lũy kế sau khi đầu tư > Thanh lý công ty liên kết,Thanh lý công ty liên kết,49.072.185,-,49.072.185,49072185.0,,49072185.0
Cổ tức,Phần lãi (lỗ) lũy kế sau khi đầu tư > Cổ tức,Cổ tức,-,(10.457.823),(10.457.823),,-10457823.0,-10457823.0
Số cuối năm,Phần lãi (lỗ) lũy kế sau khi đầu tư > Số cuối năm,Số cuối năm,-,13.443.288,13.443.288,,13443288.0,13443288.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,564.341.889,297.149.821,861.491.710,564341889.0,297149821.0,861491710.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,-,299.447.924,299.447.924,,299447924.0,299447924.0
