row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Quyền chọn chuyển đổi trái phiếu,Chênh lệch tỷ giá hối đoái,Lợi nhuận sau thuế chưa phân phối,Ngàn VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Quyền chọn chuyển đổi trái phiếu,numeric__Chênh lệch tỷ giá hối đoái,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Ngàn VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,7.671.438.950,1.064.550.810,-,543.342.876,383.861.675,9.663.194.311,7671438950.0,1064550810.0,,543342876.0,383861675.0,9663194311.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,527.438.216,527.438.216,,,,,527438216.0,527438216.0
Thanh lý công ty con,Năm trước > Thanh lý công ty con,Thanh lý công ty con,-,-,-,(36.974.621),-,(36.974.621),,,,-36974621.0,,-36974621.0
Chênh lệch tỷ giá hối đoái,Năm trước > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,(51.775.865),-,(51.775.865),,,,-51775865.0,,-51775865.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,7.671.438.950,1.064.550.810,-,454.592.390,911.299.891,10.101.882.041,7671438950.0,1064550810.0,,454592390.0,911299891.0,10101882041.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,7.671.438.950,1.064.550.810,-,454.592.390,911.299.891,10.101.882.041,7671438950.0,1064550810.0,,454592390.0,911299891.0,10101882041.0
Phát hành cổ phiếu (*),Năm nay > Phát hành cổ phiếu (*),Phát hành cổ phiếu (*),1.197.000.000,-,-,-,-,1.197.000.000,1197000000.0,,,,,1197000000.0
Lỗ thuần trong năm,Năm nay > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,-,(659.149.758),(659.149.758),,,,,-659149758.0,-659149758.0
Giao dịch vốn với cổ đông không kiểm soát của công ty con nhưng không làm mất quyền kiểm soát (TM số 4),Năm nay > Giao dịch vốn với cổ đông không kiểm soát của công ty con nhưng không làm mất quyền kiểm soát (TM số 4),Giao dịch vốn với cổ đông không kiểm soát của công ty con nhưng không làm mất quyền kiểm soát (TM số 4),-,-,-,-,(148.694.971),(148.694.971),,,,,-148694971.0,-148694971.0
Phát hành trái phiếu chuyển đổi,Năm nay > Phát hành trái phiếu chuyển đổi,Phát hành trái phiếu chuyển đổi,-,-,105.576.190,-,-,105.576.190,,,105576190.0,,,105576190.0
Chi thủ lao thành viên ban kiểm soát,Năm nay > Chi thủ lao thành viên ban kiểm soát,Chi thủ lao thành viên ban kiểm soát,-,-,-,-,(810.000),(810.000),,,,,-810000.0,-810000.0
Chênh lệch tỷ giá hối đoái,Năm nay > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,50.769.413,-,50.769.413,,,,50769413.0,,50769413.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,8.868.438.950,1.064.550.810,105.576.190,505.361.803,102.645.162,10.646.572.915,8868438950.0,1064550810.0,105576190.0,505361803.0,102645162.0,10646572915.0
