row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,1.088.623.555,828.112.025,1088623555.0,828112025.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Hợp đồng xây dựng (i),Trong đó: > Hợp đồng xây dựng (i),Hợp đồng xây dựng (i),609.273.069,570.300.836,609273069.0,570300836.0
"Hoạt động sản xuất, trồng cây ăn trái","Trong đó: > Hoạt động sản xuất, trồng cây ăn trái","Hoạt động sản xuất, trồng cây ăn trái",461.687.641,130.785.570,461687641.0,130785570.0
Chi phí nuôi bò thịt,Trong đó: > Chi phí nuôi bò thịt,Chi phí nuôi bò thịt,17.662.845,127.025.619,17662845.0,127025619.0
Nguyên vật liệu,Trong đó: > Nguyên vật liệu,Nguyên vật liệu,132.746.014,119.053.882,132746014.0,119053882.0
Thành phẩm,Trong đó: > Thành phẩm,Thành phẩm,46.872.104,12.120.220,46872104.0,12120220.0
Hàng hóa,Trong đó: > Hàng hóa,Hàng hóa,28.543.749,20.005.515,28543749.0,20005515.0
"Công cụ, dụng cụ","Trong đó: > Công cụ, dụng cụ","Công cụ, dụng cụ",9.665.525,36.640.124,9665525.0,36640124.0
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,1.306.450.947,1.015.931.766,1306450947.0,1015931766.0
Dự phòng giảm giá hàng tồn kho,Trong đó: > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,(11.562.881),(7.371.362),-11562881.0,-7371362.0
GIÁ TRỊ THUÀN,Trong đó: > GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,1.294.888.066,1.008.560.404,1294888066.0,1008560404.0
