row_label_raw,row_label_full,Tên công ty liên kết,Lĩnh vực kinh doanh,Số cuối năm > Tỷ lệ sở hữu %,Số cuối năm > Giá trị ghi số Ngân VND,Số đầu năm > Tỷ lệ sở hữu %,Số đầu năm > Giá trị ghi số Ngân VND,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm > Tỷ lệ sở hữu %,numeric__Số cuối năm > Giá trị ghi số Ngân VND,numeric__Số đầu năm > Tỷ lệ sở hữu %,numeric__Số đầu năm > Giá trị ghi số Ngân VND
Công ty Cổ phầnCao su Bidiphar,Công ty Cổ phầnCao su Bidiphar,Công ty Cổ phầnCao su Bidiphar,"Trồng, khai thác và chế biến các sản phẩm từ cây cao su","49,14",299.447.924,"49,14",297.149.821,,49.14,299447924.0,49.14,297149821.0
Công ty Cổ phầnChăn nuôi Gia Lai (*),Công ty Cổ phầnChăn nuôi Gia Lai (*),Công ty Cổ phầnChăn nuôi Gia Lai (*),Chăn nuôi và cây ăn trái,-,-,"23,46",564.341.889,,,,23.46,564341889.0
TỔNG CỔNG,TỔNG CỔNG,TỔNG CỔNG,,,299.447.924,,861.491.710,,,299447924.0,,861491710.0
