row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Cho vay các bên thứ ba,Ngắn hạn > Cho vay các bên thứ ba,Cho vay các bên thứ ba,73.000.000,77.026.408,73000000.0,77026408.0
- Bà Lê Thùy Dương (i),Ngắn hạn > - Bà Lê Thùy Dương (i),- Bà Lê Thùy Dương (i),73.000.000,-,73000000.0,
- Ông Phạm Ngọc Anh,Ngắn hạn > - Ông Phạm Ngọc Anh,- Ông Phạm Ngọc Anh,-,74.100.882,,74100882.0
- Khác,Ngắn hạn > - Khác,- Khác,-,2.925.526,,2925526.0
Cho vay các bên liên quan (TM số 33) (ii),Ngắn hạn > Cho vay các bên liên quan (TM số 33) (ii),Cho vay các bên liên quan (TM số 33) (ii),3.814.000,280.606.633,3814000.0,280606633.0
,,,76.814.000,357.633.041,76814000.0,357633041.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Cho vay các bên thứ ba,Dài hạn > Cho vay các bên thứ ba,Cho vay các bên thứ ba,-,169.658.491,,169658491.0
- Công ty TNHH Phát triển Nông nghiệp Samaki,Dài hạn > - Công ty TNHH Phát triển Nông nghiệp Samaki,- Công ty TNHH Phát triển Nông nghiệp Samaki,-,141.465.392,,141465392.0
- Các bên khác,Dài hạn > - Các bên khác,- Các bên khác,-,28.193.099,,28193099.0
Cho vay các bên liên quan (TM số 33),Dài hạn > Cho vay các bên liên quan (TM số 33),Cho vay các bên liên quan (TM số 33),-,1.836.056.482,,1836056482.0
,,,-,2.005.714.973,,2005714973.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,76.814.000,2.363.348.014,76814000.0,2363348014.0
