row_label_raw,row_label_full,Ngân hàng,Số cuối nămNgàn VND,Nguyên tệUSD,Thời hạn thanh toán,Lãi suất%/năm,Tài sản đảm bảo(TM số 11 và 13),numeric__Số cuối nămNgàn VND,numeric__Nguyên tệUSD,numeric__Thời hạn thanh toán,numeric__Lãi suất%/năm,numeric__Tài sản đảm bảo(TM số 11 và 13)
"BIDV, Chi nhánh Bình Định","BIDV, Chi nhánh Bình Định","BIDV, Chi nhánh Bình Định","BIDV, Chi nhánh Bình Định","BIDV, Chi nhánh Bình Định","BIDV, Chi nhánh Bình Định","BIDV, Chi nhánh Bình Định","BIDV, Chi nhánh Bình Định",,,,,
Khoản vay ngày 18 tháng 2 năm 2013 (*),"BIDV, Chi nhánh Bình Định > Khoản vay ngày 18 tháng 2 năm 2013 (*)",Khoản vay ngày 18 tháng 2 năm 2013 (*),576.217.075,25.050.531,Từ ngày 25 tháng 3 năm2020 đếnngày 25tháng 12năm 2026,"Lãi suất huy động tiết kiệm của BIDV bằng USD kỳ hạn12 tháng trảlãi sau +5,00 (2018:7,00)","Quyền sử dụng đất Khu căn hộ cao cấp HAGL gồm 47 căn hộ, block A,B,C tại số 40 Đường Hùng Vương, Thành phốBuôn Ma Thuột, Tĩnh Đắk Lắk, Việt Nam thuộc sở hữu của Hoàng Anh Đắk Lắk; 119 căn hộ thuộc cao ốc văn phòng và nhà ở cao cấp HAGL tại số 6 Đường Hoàng Văn Thụ, Thành phố Pleiku, Tĩnh Gia Lai, Việt Nam thuộc sở hữu của HAG;Nhà máy đá Granit HAGL tại dọc Quốc lộ 14, Xã la Băng,Huyện Đắk Đoa, Tĩnh Gia Lai, Việt Nam thuộc sở hữu của HAG; Quyền sử dụng đất tại Phường Phù Đồng, Thành phốPleiku, Tĩnh Gia Lai, Việt Nam với diện tích 6.993,2 m2;Quyền sử dụng và khai thác 4.733,01 ha cao su và 3.155,79ha cơ đầu tại Tĩnh Attapeu, Lào thuộc sở hữu của Hoàng AnhAttapeu.",576217075.0,25050531.0,,,
TỔNG CỘNG,"BIDV, Chi nhánh Bình Định > TỔNG CỘNG",TỔNG CỘNG,1.888.233.421,,,,,1888233421.0,,,,
Trong đó:Vay dài hạnVay dài hạn đếnhạn trả,"BIDV, Chi nhánh Bình Định > Trong đó:Vay dài hạnVay dài hạn đếnhạn trả",Trong đó:Vay dài hạnVay dài hạn đếnhạn trả,1.305.862.648582.370.773,,,,,1.3058626485823708e+18,,,,
