row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu từ bán hàng và cung cấp dịch vụ,Phải thu từ bán hàng và cung cấp dịch vụ,Phải thu từ bán hàng và cung cấp dịch vụ,1.053.891.938,1.138.718.726,1053891938.0,1138718726.0
- Công ty Xuất Nhập khẩu Mittaphap,- Công ty Xuất Nhập khẩu Mittaphap,- Công ty Xuất Nhập khẩu Mittaphap,196.269.632,9.647.209,196269632.0,9647209.0
- Công ty Cổ phần Chăn nuôi Gia Lai,- Công ty Cổ phần Chăn nuôi Gia Lai,- Công ty Cổ phần Chăn nuôi Gia Lai,132.668.954,432.326.587,132668954.0,432326587.0
- Các khách hàng khác,- Các khách hàng khác,- Các khách hàng khác,724.953.352,696.744.930,724953352.0,696744930.0
Phải thu từ hoạt động xây dựng sân bay cho Chính phủ Lào,Phải thu từ hoạt động xây dựng sân bay cho Chính phủ Lào,Phải thu từ hoạt động xây dựng sân bay cho Chính phủ Lào,748.511.168,737.569.190,748511168.0,737569190.0
Phải thu về thanh lý khoản đầu tư - Công ty Cổ phần Thực phẩm Heygo,Phải thu về thanh lý khoản đầu tư - Công ty Cổ phần Thực phẩm Heygo,Phải thu về thanh lý khoản đầu tư - Công ty Cổ phần Thực phẩm Heygo,516.200.000,-,516200000.0,
Phải thu về chuyển nhượng dự án,Phải thu về chuyển nhượng dự án,Phải thu về chuyển nhượng dự án,-,132.652.615,,132652615.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.318.603.106,2.008.940.531,2318603106.0,2008940531.0
Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(24.983.876),(13.042.811),-24983876.0,-13042811.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,2.293.619.230,1.995.897.720,2293619230.0,1995897720.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu các bên thứ ba,Trong đó: > Phải thu các bên thứ ba,Phải thu các bên thứ ba,2.212.339.701,1.373.049.166,2212339701.0,1373049166.0
Phải thu các bên liên quan (TM số 33),Trong đó: > Phải thu các bên liên quan (TM số 33),Phải thu các bên liên quan (TM số 33),106.263.405,635.891.365,106263405.0,635891365.0
