row_label_raw,row_label_full,Số đầu năm > Lợi nhuận thuần trong năm phân bổ,Năm nay > 50.886.343 > 3.035.231,Ngàn VNDNăm trước > 59.875.052 > 3.024.433,numeric__Năm nay > 50.886.343 > 3.035.231,numeric__Ngàn VNDNăm trước > 59.875.052 > 3.024.433
Giao dịch vốn với cổ đông không kiểm soát của công ty con nhưng không làm mất quyền kiểm soát,Giao dịch vốn với cổ đông không kiểm soát của công ty con nhưng không làm mất quyền kiểm soát,Giao dịch vốn với cổ đông không kiểm soát của công ty con nhưng không làm mất quyền kiểm soát,(24.116.892),-,-24116892.0,
Cổ tức phải trả cho cổ đông không kiểm soát,Cổ tức phải trả cho cổ đông không kiểm soát,Cổ tức phải trả cho cổ đông không kiểm soát,(495.000),-,-495000.0,
Thanh lý công ty con,Thanh lý công ty con,Thanh lý công ty con,-,(12.013.142),,-12013142.0
Số cuối năm,Số cuối năm,Số cuối năm,29.309.682,50.886.343,29309682.0,50886343.0
