row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Ngân VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngân VND > Số đầu năm
Phải trả người bán ngắn hạn (TM số 18),Phải trả người bán ngắn hạn (TM số 18),Phải trả người bán ngắn hạn (TM số 18),Phải trả người bán ngắn hạn (TM số 18),Phải trả người bán ngắn hạn (TM số 18),Phải trả người bán ngắn hạn (TM số 18),Phải trả người bán ngắn hạn (TM số 18),,,,
Công ty Cổ phần Hoàng Anh Gia Lai,Phải trả người bán ngắn hạn (TM số 18) > Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty mẹ,Mua vật tư,(62.246.015),(236.543.574),,,-62246015.0,-236543574.0
Công ty Cổ phần lapacco,Phải trả người bán ngắn hạn (TM số 18) > Công ty Cổ phần lapacco,Công ty Cổ phần lapacco,Công ty liên quan,Mua vật tư,(17.788.694),-,,,-17788694.0,
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Phải trả người bán ngắn hạn (TM số 18) > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty liên quan,Thuê kho,(3.934.019),(22.997.784),,,-3934019.0,-22997784.0
Các bên liên quan khác,Phải trả người bán ngắn hạn (TM số 18) > Các bên liên quan khác,Các bên liên quan khác,Bên liên quan,Mua nguyên vật liệu,(101.578),(4.733.432),,,-101578.0,-4733432.0
Công ty Cổ phần Chăn nuôi Gia Lai,Phải trả người bán ngắn hạn (TM số 18) > Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên quan (đến ngày 20 tháng 3 năm 2018),Mua hàng hóa và dịch vụ,-,(101.950.898),,,,-101950898.0
Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Phải trả người bán ngắn hạn (TM số 18) > Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty trong cùng Tập đoàn,Mua hàng hóa và dịch vụ,-,(83.166.966),,,,-83166966.0
,,,,,(84.070.306),(449.392.654),,,-84070306.0,-449392654.0
