row_label_raw,row_label_full,col_0,Năm nay,Ngàn VNDNăm trước,numeric__Năm nay,numeric__Ngàn VNDNăm trước
Doanh thu bán trái cây,Doanh thu bán trái cây,Doanh thu bán trái cây,2.351.617.889,1.617.509.655,2351617889.0,1617509655.0
Doanh thu bán ót,Doanh thu bán ót,Doanh thu bán ót,496.448.129,24.931.966,496448129.0,24931966.0
Doanh thu bán mũ cao su,Doanh thu bán mũ cao su,Doanh thu bán mũ cao su,345.167.899,454.358.577,345167899.0,454358577.0
"Doanh thu bán hàng hóa, hàng phụ phẩm, phế phẩm","Doanh thu bán hàng hóa, hàng phụ phẩm, phế phẩm","Doanh thu bán hàng hóa, hàng phụ phẩm, phế phẩm",292.364.339,244.417.863,292364339.0,244417863.0
Doanh thu bán bò,Doanh thu bán bò,Doanh thu bán bò,126.874.935,757.655.995,126874935.0,757655995.0
Doanh thu bán tiêu,Doanh thu bán tiêu,Doanh thu bán tiêu,38.214.213,32.720.964,38214213.0,32720964.0
Doanh thu bán căn hộ,Doanh thu bán căn hộ,Doanh thu bán căn hộ,26.740.589,53.403.446,26740589.0,53403446.0
Doanh thu từ cung cấp dịch vụ,Doanh thu từ cung cấp dịch vụ,Doanh thu từ cung cấp dịch vụ,10.917.384,55.258.521,10917384.0,55258521.0
Doanh thu bán các sản phẩm ngành đường,Doanh thu bán các sản phẩm ngành đường,Doanh thu bán các sản phẩm ngành đường,-,80.764.242,,80764242.0
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,3.688.345.377,3.321.021.229,3688345377.0,3321021229.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu thuần với bên thứ ba,Trong đó: > Doanh thu thuần với bên thứ ba,Doanh thu thuần với bên thứ ba,3.104.071.336,3.001.433.740,3104071336.0,3001433740.0
Doanh thu thuần với các bên liên quan,Trong đó: > Doanh thu thuần với các bên liên quan,Doanh thu thuần với các bên liên quan,584.274.041,319.587.489,584274041.0,319587489.0
