row_label_raw,row_label_full,col_0,Lợi thế thương mại phát sinh từ nghiệp vụ mua các công ty:,Lợi thế thương mại phát sinh từ nghiệp vụ mua các công ty:_1,Lợi thế thương mại phát sinh từ nghiệp vụ mua các công ty:_2,Lợi thế thương mại phát sinh từ nghiệp vụ mua các công ty:_3,Lợi thế thương mại phát sinh từ nghiệp vụ mua các công ty:_4,Ngàn VND,numeric__Lợi thế thương mại phát sinh từ nghiệp vụ mua các công ty:,numeric__Lợi thế thương mại phát sinh từ nghiệp vụ mua các công ty:_1,numeric__Lợi thế thương mại phát sinh từ nghiệp vụ mua các công ty:_2,numeric__Lợi thế thương mại phát sinh từ nghiệp vụ mua các công ty:_3,numeric__Lợi thế thương mại phát sinh từ nghiệp vụ mua các công ty:_4,numeric__Ngàn VND
,,,Cao su Trung Nguyên,Đông Pênh,An Đông Mia,Cao su Đông Dương,Bò sữa Tây Nguyên,Tổng cộng,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số đầu năm và cuối năm,Nguyên giá > Số đầu năm và cuối năm,Số đầu năm và cuối năm,2.667.823.198,611.353.527,565.417.677,168.887.099,72.228.357,4.085.709.858,2667823198.0,611353527.0,565417677.0,168887099.0,72228357.0,4085709858.0
Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,,,,,,
Số đầu năm,Phân bổ lũy kế > Số đầu năm,Số đầu năm,(289.014.180),(130.397.632),(118.470.104),(30.962.635),(19.260.896),(588.105.447),-289014180.0,-130397632.0,-118470104.0,-30962635.0,-19260896.0,-588105447.0
Phân bổ trong năm,Phân bổ lũy kế > Phân bổ trong năm,Phân bổ trong năm,(266.782.320),(61.135.353),(56.541.768),(16.888.710),(7.222.836),(408.570.987),-266782320.0,-61135353.0,-56541768.0,-16888710.0,-7222836.0,-408570987.0
Số cuối năm,Phân bổ lũy kế > Số cuối năm,Số cuối năm,(555.796.500),(191.532.985),(175.011.872),(47.851.345),(26.483.732),(996.676.434),-555796500.0,-191532985.0,-175011872.0,-47851345.0,-26483732.0,-996676434.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,2.378.809.018,480.955.895,446.947.573,137.924.464,52.967.461,3.497.604.411,2378809018.0,480955895.0,446947573.0,137924464.0,52967461.0,3497604411.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,2.112.026.698,419.820.542,390.405.805,121.035.754,45.744.625,3.089.033.424,2112026698.0,419820542.0,390405805.0,121035754.0,45744625.0,3089033424.0
