row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải trả dài hạn khác (TM số 22),Phải trả dài hạn khác (TM số 22),Phải trả dài hạn khác (TM số 22),Phải trả dài hạn khác (TM số 22),Phải trả dài hạn khác (TM số 22),Phải trả dài hạn khác (TM số 22),Phải trả dài hạn khác (TM số 22),,,,
Công ty TNHH An Tiến,Phải trả dài hạn khác (TM số 22) > Công ty TNHH An Tiến,Công ty TNHH An Tiến,Công ty liên quan,Hợp tác kinh doanh,(550.000.000),(550.000.000),,,-550000000.0,-550000000.0
Công ty TNHH Điện Nậm Kông 3,Phải trả dài hạn khác (TM số 22) > Công ty TNHH Điện Nậm Kông 3,Công ty TNHH Điện Nậm Kông 3,Công ty trong cùng Tập đoàn,Mượn tiền,(225.217.760),(616.381.679),,,-225217760.0,-616381679.0
Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty mẹ,Hợp tác kinh doanh Mượn tiền,- (78.933.111),(514.788.889) (20.777.918),,,,
,,,,,(854.150.871),(1.701.948.486),,,-854150871.0,-1701948486.0
Vay ngắn hạn (TM số 23.1 và 23.4),Vay ngắn hạn (TM số 23.1 và 23.4),Vay ngắn hạn (TM số 23.1 và 23.4),Vay ngắn hạn (TM số 23.1 và 23.4),Vay ngắn hạn (TM số 23.1 và 23.4),Vay ngắn hạn (TM số 23.1 và 23.4),Vay ngắn hạn (TM số 23.1 và 23.4),,,,
Công ty Cổ phần Hoàng Anh Gia Lai,Vay ngắn hạn (TM số 23.1 và 23.4) > Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty mẹ,Vay,(983.468.000),(478.500.000),,,-983468000.0,-478500000.0
Công ty Cổ phần Ô tô Trường Hải,Công ty Cổ phần Ô tô Trường Hải,Công ty Cổ phần Ô tô Trường Hải,Công ty có cùng thành viên HĐQT,Trái phiếu chuyển đổi Vay,(2.216.880.000) (746.132.000),- -,,,,
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Ô tô Trường Hải > Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên quan (đến ngày 20 tháng 3 năm 2018),Vay,-,(298.000.000),,,,-298000000.0
Công ty Cổ phần Hưng Thắng Lợi Gia Lai,Công ty Cổ phần Ô tô Trường Hải > Công ty Cổ phần Hưng Thắng Lợi Gia Lai,Công ty Cổ phần Hưng Thắng Lợi Gia Lai,Công ty trong cùng Tập đoàn,Vay,-,(12.091.300),,,,-12091300.0
Ông Dương Hoàng Bắc,Công ty Cổ phần Ô tô Trường Hải > Ông Dương Hoàng Bắc,Ông Dương Hoàng Bắc,Bên liên quan,Vay,-,(7.823.000),,,,-7823000.0
,,,,,(3.946.480.000),(796.414.300),,,-3946480000.0,-796414300.0
Vay dài hạn (TM số 23.7),Vay dài hạn (TM số 23.7),Vay dài hạn (TM số 23.7),Vay dài hạn (TM số 23.7),Vay dài hạn (TM số 23.7),Vay dài hạn (TM số 23.7),Vay dài hạn (TM số 23.7),,,,
Công ty Cổ phần Hoàng Anh Gia Lai,Vay dài hạn (TM số 23.7) > Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty mẹ,Vay,(3.679.224.833),(4.898.429.558),,,-3679224833.0,-4898429558.0
Công ty Cổ phần Thủy Điện Hoàng Anh Gia Lai,Vay dài hạn (TM số 23.7) > Công ty Cổ phần Thủy Điện Hoàng Anh Gia Lai,Công ty Cổ phần Thủy Điện Hoàng Anh Gia Lai,Công ty trong cùng Tập đoàn,Vay,-,(126.168.000),,,,-126168000.0
,,,,,(3.679.224.833),(5.024.597.558),,,-3679224833.0,-5024597558.0
