row_label_raw,row_label_full,col_0,col_1,31/12/2020 > Giá trịVND,31/12/2020 > Dự phòngVND,01/01/2020 > Giá trịVND,01/01/2020 > Dự phòngVND,numeric__col_1,numeric__31/12/2020 > Giá trịVND,numeric__31/12/2020 > Dự phòngVND,numeric__01/01/2020 > Giá trịVND,numeric__01/01/2020 > Dự phòngVND
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,,,,,
-,a) Ngắn hạn > -,-,Công ty TNHH Box - Pak,22.800.709.250,-,6.349.260.940,-,,22800709250.0,,6349260940.0,
-,a) Ngắn hạn > -,-,Công ty TNHH Đông Tuấn Việt Nam,21.180.630.337,-,18.478.634.344,-,,21180630337.0,,18478634344.0,
-,a) Ngắn hạn > -,-,Công ty TNHH Công Nghiệp Carbotec Việt Nam,9.680.009.275,-,9.659.870.275,-,,9680009275.0,,9659870275.0,
-,a) Ngắn hạn > -,-,Các khách hàng khác,123.036.933.502,(572.198.765),120.405.548.815,(257.789.249),,123036933502.0,-572198765.0,120405548815.0,-257789249.0
,,,,176.698.282.364,(572.198.765),154.893.314.374,(257.789.249),,176698282364.0,-572198765.0,154893314374.0,-257789249.0
b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,,,,,
-,b) Dài hạn > -,-,Công ty Cổ phần An Bình (1),60.000.000.000,-,65.000.000.000,-,,60000000000.0,,65000000000.0,
-,b) Dài hạn > -,-,Công ty Cổ phần Bất Động Sản U&I (2),204.512.681.143,-,204.512.681.143,-,,204512681143.0,,204512681143.0,
,,,,264.512.681.143,-,269.512.681.143,-,,264512681143.0,,269512681143.0,
c),b) Dài hạn > c),c),Trong đó: Phải thu khách hàng là các bên liên quan(Xem thông tin chi tiết tại Thuyết minh 49),204.512.681.143,-,204.512.681.143,-,,204512681143.0,,204512681143.0,
