row_label_raw,row_label_full,col_0,Môi quan hệ,Năm 2020,Năm 2019,numeric__Môi quan hệ,numeric__Năm 2020,numeric__Năm 2019
,,,Môi quan hệ,VND,VND,,,
Góp vốn,Góp vốn,Góp vốn,,-,761.306.400.000,,,761306400000.0
- Công ty Cổ phần Đầu tư và Phát triển Tân Thành,- Công ty Cổ phần Đầu tư và Phát triển Tân Thành,- Công ty Cổ phần Đầu tư và Phát triển Tân Thành,Công ty liên kết,,761.306.400.000,,,761306400000.0
Giảm vốn,Giảm vốn,Giảm vốn,,-,964.321.000.000,,,964321000000.0
- Công ty Cổ phần Đầu tư và Phát triển Tân Thành,- Công ty Cổ phần Đầu tư và Phát triển Tân Thành,- Công ty Cổ phần Đầu tư và Phát triển Tân Thành,Công ty liên kết,,964.321.000.000,,,964321000000.0
Nhận chuyển nhượng cổ phần,Nhận chuyển nhượng cổ phần,Nhận chuyển nhượng cổ phần,,91.875.000.000,-,,91875000000.0,
- Công ty Cổ phần Hưng Vượng,- Công ty Cổ phần Hưng Vượng,- Công ty Cổ phần Hưng Vượng,Công ty liên kết,91.875.000.000,-,,91875000000.0,
Cho vay,Cho vay,Cho vay,,264.000.000.000,30.000.000.000,,264000000000.0,30000000000.0
- Công ty Cổ phần Đầu tư và Phát triển Tân Thành,- Công ty Cổ phần Đầu tư và Phát triển Tân Thành,- Công ty Cổ phần Đầu tư và Phát triển Tân Thành,Công ty liên kết,94.000.000.000,30.000.000.000,,94000000000.0,30000000000.0
- Công ty Cổ phần Hưng Vượng,- Công ty Cổ phần Hưng Vượng,- Công ty Cổ phần Hưng Vượng,Công ty liên kết,170.000.000.000,-,,170000000000.0,
Thu hồi nợ cho vay,Thu hồi nợ cho vay,Thu hồi nợ cho vay,,63.000.000.000,8.767.282.706,,63000000000.0,8767282706.0
- Công ty Cổ phần Đầu tư và Phát triển Tân Thành,- Công ty Cổ phần Đầu tư và Phát triển Tân Thành,- Công ty Cổ phần Đầu tư và Phát triển Tân Thành,Công ty liên kết,63.000.000.000,-,,63000000000.0,
- Công ty TNHH YCH-PROTRADE,- Công ty TNHH YCH-PROTRADE,- Công ty TNHH YCH-PROTRADE,Công ty liên kết,-,8.767.282.706,,,8767282706.0
"Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ",,2.890.659.145,2.970.528.250,,2890659145.0,2970528250.0
- Công ty Cổ phần Phát triển Phú Mỹ,- Công ty Cổ phần Phát triển Phú Mỹ,- Công ty Cổ phần Phát triển Phú Mỹ,Công ty liên kết,419.375.529,635.730.073,,419375529.0,635730073.0
- Công ty Cổ phần Đầu tư và Phát triển Tân Thành,- Công ty Cổ phần Đầu tư và Phát triển Tân Thành,- Công ty Cổ phần Đầu tư và Phát triển Tân Thành,Công ty liên kết,239.655.440,-,,239655440.0,
- Công ty TNHH MTV Đầu tư và Quản lý Dự án Bình Dương,- Công ty TNHH MTV Đầu tư và Quản lý Dự án Bình Dương,- Công ty TNHH MTV Đầu tư và Quản lý Dự án Bình Dương,Đại diện vốn của cổ đông Nhà nước,2.231.628.176,2.334.798.177,,2231628176.0,2334798177.0
Doanh thu bán hàng,Doanh thu bán hàng,Doanh thu bán hàng,,20.800.000,-,,20800000.0,
- Công ty Cổ phần Hưng Vượng,- Công ty Cổ phần Hưng Vượng,- Công ty Cổ phần Hưng Vượng,Công ty liên kết,20.800.000,-,,20800000.0,
Nhận lãi chậm thanh toán,Nhận lãi chậm thanh toán,Nhận lãi chậm thanh toán,,6.384.805.173,-,,6384805173.0,
- Công ty Cổ phần Hưng Vượng,- Công ty Cổ phần Hưng Vượng,- Công ty Cổ phần Hưng Vượng,Công ty liên kết,6.384.805.173,-,,6384805173.0,
Chi phí di vay,Chi phí di vay,Chi phí di vay,,4.710.416.665,5.322.916.667,,4710416665.0,5322916667.0
- Tỉnh ủy Bình Dương,- Tỉnh ủy Bình Dương,- Tỉnh ủy Bình Dương,Cổ đông Nhà nước,4.710.416.665,5.322.916.667,,4710416665.0,5322916667.0
Lãi cho vay,Lãi cho vay,Lãi cho vay,,15.553.501.778,8.656.192.823,,15553501778.0,8656192823.0
- Công ty Cổ phần Đầu tư và Phát triển Tân Thành,- Công ty Cổ phần Đầu tư và Phát triển Tân Thành,- Công ty Cổ phần Đầu tư và Phát triển Tân Thành,Công ty liên kết,14.552.077.121,8.656.192.823,,14552077121.0,8656192823.0
- Công ty Cổ phần Hưng Vượng,- Công ty Cổ phần Hưng Vượng,- Công ty Cổ phần Hưng Vượng,Công ty liên kết,1.001.424.657,-,,1001424657.0,
