row_label_raw,row_label_full,"Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP A128 đường 3/2, khu phố Đông Tư, phường Lái Thiêu, thành phố Thuận An, tỉnh Bình Dương","Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP A128 đường 3/2, khu phố Đông Tư, phường Lái Thiêu, thành phố Thuận An, tỉnh Bình Dương_1","Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP A128 đường 3/2, khu phố Đông Tư, phường Lái Thiêu, thành phố Thuận An, tỉnh Bình Dương_2","Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP A128 đường 3/2, khu phố Đông Tư, phường Lái Thiêu, thành phố Thuận An, tỉnh Bình Dương_3","Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP A128 đường 3/2, khu phố Đông Tư, phường Lái Thiêu, thành phố Thuận An, tỉnh Bình Dương_4","Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP A128 đường 3/2, khu phố Đông Tư, phường Lái Thiêu, thành phố Thuận An, tỉnh Bình Dương_5","Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP A128 đường 3/2, khu phố Đông Tư, phường Lái Thiêu, thành phố Thuận An, tỉnh Bình Dương_6","Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP A128 đường 3/2, khu phố Đông Tư, phường Lái Thiêu, thành phố Thuận An, tỉnh Bình Dương_7","Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP A128 đường 3/2, khu phố Đông Tư, phường Lái Thiêu, thành phố Thuận An, tỉnh Bình Dương_8","numeric__Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP A128 đường 3/2, khu phố Đông Tư, phường Lái Thiêu, thành phố Thuận An, tỉnh Bình Dương_1","numeric__Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP A128 đường 3/2, khu phố Đông Tư, phường Lái Thiêu, thành phố Thuận An, tỉnh Bình Dương_2","numeric__Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP A128 đường 3/2, khu phố Đông Tư, phường Lái Thiêu, thành phố Thuận An, tỉnh Bình Dương_3","numeric__Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP A128 đường 3/2, khu phố Đông Tư, phường Lái Thiêu, thành phố Thuận An, tỉnh Bình Dương_4","numeric__Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP A128 đường 3/2, khu phố Đông Tư, phường Lái Thiêu, thành phố Thuận An, tỉnh Bình Dương_5","numeric__Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP A128 đường 3/2, khu phố Đông Tư, phường Lái Thiêu, thành phố Thuận An, tỉnh Bình Dương_6","numeric__Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP A128 đường 3/2, khu phố Đông Tư, phường Lái Thiêu, thành phố Thuận An, tỉnh Bình Dương_7","numeric__Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP A128 đường 3/2, khu phố Đông Tư, phường Lái Thiêu, thành phố Thuận An, tỉnh Bình Dương_8"
,,,01/01/2020,01/01/2020,Trong năm,Trong năm,Trong năm,31/12/2020,31/12/2020,31/12/2020,,,,,,,,
,,,Giá trị,Số có khả năng trả nợ,Tăng,Giảm,Tăng từ hợp nhất kinh doanh,Giá trị,Số có khả năng trả nợ,,,,,,,,,
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,,,,,,,,
Vay ngắn hạn,a) Vay ngắn hạn > Vay ngắn hạn,Vay ngắn hạn,450.139.734.507,450.139.734.507,52.229.400.917,502.369.135.424,69.123.604.192,69.123.604.192,69.123.604.192,,450139734507.0,450139734507.0,52229400917.0,502369135424.0,69123604192.0,69123604192.0,69123604192.0,
- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Bình Dương,a) Vay ngắn hạn > - Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Bình Dương,- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Bình Dương,343.891.374.507,343.891.374.507,52.229.400.917,396.120.775.424,-,-,-,,343891374507.0,343891374507.0,52229400917.0,396120775424.0,,,,
- Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Bình Dương,a) Vay ngắn hạn > - Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Bình Dương,- Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Bình Dương,31.248.360.000,31.248.360.000,-,31.248.360.000,-,-,-,,31248360000.0,31248360000.0,,31248360000.0,,,,
- Tỉnh Uỷ Bình Dương,a) Vay ngắn hạn > - Tỉnh Uỷ Bình Dương,- Tỉnh Uỷ Bình Dương,75.000.000.000,75.000.000.000,-,75.000.000.000,-,-,-,,75000000000.0,75000000000.0,,75000000000.0,,,,
- Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Lào (1),a) Vay ngắn hạn > - Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Lào (1),- Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Lào (1),-,-,-,-,21.091.594.075,21.091.594.075,21.091.594.075,,,,,,21091594075.0,21091594075.0,21091594075.0,
- Ngân hàng TMCP Sài Gòn - Hà Nội - Chi nhánh Lào (2),a) Vay ngắn hạn > - Ngân hàng TMCP Sài Gòn - Hà Nội - Chi nhánh Lào (2),- Ngân hàng TMCP Sài Gòn - Hà Nội - Chi nhánh Lào (2),-,-,-,-,48.032.010.117,48.032.010.117,48.032.010.117,,,,,,48032010117.0,48032010117.0,48032010117.0,
Vay dài hạn đến hạn trả,a) Vay ngắn hạn > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,5.000.000.000,5.000.000.000,15.500.000.000,7.500.000.000,68.602.164.639,81.602.164.639,81.602.164.639,,5000000000.0,5000000000.0,15500000000.0,7500000000.0,68602164639.0,81602164639.0,81602164639.0,
- Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Lào (3),a) Vay ngắn hạn > - Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Lào (3),- Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Lào (3),-,-,-,-,45.863.123.670,45.863.123.670,45.863.123.670,,,,,,45863123670.0,45863123670.0,45863123670.0,
- Ngân hàng TMCP Sài Gòn - Hà Nội - Chi nhánh Lào (4),a) Vay ngắn hạn > - Ngân hàng TMCP Sài Gòn - Hà Nội - Chi nhánh Lào (4),- Ngân hàng TMCP Sài Gòn - Hà Nội - Chi nhánh Lào (4),-,-,-,-,22.739.040.969,22.739.040.969,22.739.040.969,,,,,,22739040969.0,22739040969.0,22739040969.0,
- Quỹ Đầu Tư Phát Triển tỉnh Bình Dương (5),a) Vay ngắn hạn > - Quỹ Đầu Tư Phát Triển tỉnh Bình Dương (5),- Quỹ Đầu Tư Phát Triển tỉnh Bình Dương (5),5.000.000.000,5.000.000.000,15.500.000.000,7.500.000.000,-,13.000.000.000,13.000.000.000,,5000000000.0,5000000000.0,15500000000.0,7500000000.0,,13000000000.0,13000000000.0,
,,,455.139.734.507,455.139.734.507,67.729.400.917,509.869.135.424,137.725.768.831,150.725.768.831,150.725.768.831,,455139734507.0,455139734507.0,67729400917.0,509869135424.0,137725768831.0,150725768831.0,150725768831.0,
b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,,,,,,,,
Vay dài hạn,b) Vay dài hạn > Vay dài hạn,Vay dài hạn,39.000.000.000,78.000.000.000,-,7.500.000.000,282.505.172.801,176.885.047.065,176.885.047.065,,39000000000.0,78000000000.0,,7500000000.0,282505172801.0,176885047065.0,176885047065.0,
