row_label_raw,row_label_full,col_0,Nam 2020,Nam 2019,numeric__Nam 2020,numeric__Nam 2019
,,,VND,VND,,
"Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",591.416.039,1.514.232.249,591416039.0,1514232249.0
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,49.775.185.240,59.632.287.447,49775185240.0,59632287447.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,6.123.144.928,4.964.869.775,6123144928.0,4964869775.0
"Thuế, phí, lệ phí","Thuế, phí, lệ phí","Thuế, phí, lệ phí",1.530.868.399,451.770.218,1530868399.0,451770218.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,11.782.573.332,15.998.380.944,11782573332.0,15998380944.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,10.120.841.221,15.793.699.434,10120841221.0,15793699434.0
Hoàn nhập dự phòng,Hoàn nhập dự phòng,Hoàn nhập dự phòng,(6.285.590.484),(7.320.091.242),-6285590484.0,-7320091242.0
Lợi thế thương mại phân bổ,Lợi thế thương mại phân bổ,Lợi thế thương mại phân bổ,23.942.250.565,23.942.250.565,23942250565.0,23942250565.0
,,,97.580.689.240,114.977.399.390,97580689240.0,114977399390.0
