row_label_raw,row_label_full,col_0,Vốn đầu tư củaChủ sở hữu,Vốn khác củaChủ sở hữu,Chênh lệch đánhgiá lại tài sản,Chênh lệch tỷ giáhối đoai,Quỹ đầu tư pháttriển,Lợi nhuận chưaphân phối,Lợi ích cổ đôngkhông kiểm soát,Cộng,numeric__Vốn đầu tư củaChủ sở hữu,numeric__Vốn khác củaChủ sở hữu,numeric__Chênh lệch đánhgiá lại tài sản,numeric__Chênh lệch tỷ giáhối đoai,numeric__Quỹ đầu tư pháttriển,numeric__Lợi nhuận chưaphân phối,numeric__Lợi ích cổ đôngkhông kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.000.000.000.000,11.949.349.305,(35.469.525.274),27.642.585.587,12.232.060.595,(93.138.269.606),18.547.352.143,2.941.763.552.750,3000000000000.0,11949349305.0,-35469525274.0,27642585587.0,12232060595.0,-93138269606.0,18547352143.0,2941763552750.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,-,298.228.594.567,2.834.185.813,301.062.780.380,,,,,,298228594567.0,2834185813.0,301062780380.0
Trích lập Quỹ đầu tưphát triển,Trích lập Quỹ đầu tưphát triển,Trích lập Quỹ đầu tưphát triển,-,-,-,-,6.916.918.777,(6.916.918.777),-,-,,,,,6916918777.0,-6916918777.0,,
Chi trả cổ tức cho cổđông không kiểm soát,Chi trả cổ tức cho cổđông không kiểm soát,Chi trả cổ tức cho cổđông không kiểm soát,-,-,-,-,-,-,(1.321.280.000),(1.321.280.000),,,,,,,-1321280000.0,-1321280000.0
Tạm ứng cổ tức,Tạm ứng cổ tức,Tạm ứng cổ tức,-,-,-,-,-,(30.000.000.000),-,(30.000.000.000),,,,,,-30000000000.0,,-30000000000.0
Trích thù lao Hội ĐồngQuản Trị,Trích thù lao Hội ĐồngQuản Trị,Trích thù lao Hội ĐồngQuản Trị,-,-,-,-,-,(1.555.200.000),-,(1.555.200.000),,,,,,-1555200000.0,,-1555200000.0
Trích Quỹ khen thưởngphúc lợi,Trích Quỹ khen thưởngphúc lợi,Trích Quỹ khen thưởngphúc lợi,-,-,-,-,-,(6.768.468.140),(647.086.267),(7.415.554.407),,,,,,-6768468140.0,-647086267.0,-7415554407.0
Chênh lệch tỷ giá dochuyển đổi báo cáo tàichính,Chênh lệch tỷ giá dochuyển đổi báo cáo tàichính,Chênh lệch tỷ giá dochuyển đổi báo cáo tàichính,-,-,-,(332.688.931),-,-,-,(332.688.931),,,,-332688931.0,,,,-332688931.0
Hợp nhất kinh doanh,Hợp nhất kinh doanh,Hợp nhất kinh doanh,-,-,-,5.832.876.924,-,(45.283.107.421),-,(39.450.230.497),,,,5832876924.0,,-45283107421.0,,-39450230497.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,3.000.000.000.000,11.949.349.305,(35.469.525.274),33.142.773.580,19.148.979.372,114.566.630.623,19.413.171.689,3.162.751.379.295,3000000000000.0,11949349305.0,-35469525274.0,33142773580.0,19148979372.0,114566630623.0,19413171689.0,3162751379295.0
