row_label_raw,row_label_full,col_0,Số phải thuđầu năm,Số phải nộp đầu năm,Số phải nộp trongnăm,Số đã thực nộptrong năm,Tăng từ hợp nhấtkinh doanh,Số phải thucuối năm,Số phải nộpcuối năm,numeric__Số phải thuđầu năm,numeric__Số phải nộp đầu năm,numeric__Số phải nộp trongnăm,numeric__Số đã thực nộptrong năm,numeric__Tăng từ hợp nhấtkinh doanh,numeric__Số phải thucuối năm,numeric__Số phải nộpcuối năm
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
- Thuế giá trị gia tăng,- Thuế giá trị gia tăng,- Thuế giá trị gia tăng,-,2.319.334.999,24.354.866.429,24.970.625.748,-,-,1.703.575.680,,2319334999.0,24354866429.0,24970625748.0,,,1703575680.0
- Thuế tiêu thụ đặc biệt,- Thuế tiêu thụ đặc biệt,- Thuế tiêu thụ đặc biệt,-,2.318.142.469,19.880.025.061,20.478.144.888,-,-,1.720.022.642,,2318142469.0,19880025061.0,20478144888.0,,,1720022642.0
- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,17.729.895.143,48.606.896.088,6.962.318.962,51.960.421.602,-,17.729.895.143,3.608.793.448,17729895143.0,48606896088.0,6962318962.0,51960421602.0,,17729895143.0,3608793448.0
- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,150.423,3.417.681.717,11.072.241.653,13.326.738.497,1.938.772.854,-,3.101.807.304,150423.0,3417681717.0,11072241653.0,13326738497.0,1938772854.0,,3101807304.0
- Thuế tài nguyên,- Thuế tài nguyên,- Thuế tài nguyên,-,48.129.200,405.996.087,435.333.687,-,-,18.791.600,,48129200.0,405996087.0,435333687.0,,,18791600.0
- Thuế nhà đất và tiền thuê đất,- Thuế nhà đất và tiền thuê đất,- Thuế nhà đất và tiền thuê đất,267.727.149,369.412.125,5.805.410.230,5.805.410.230,-,267.727.149,369.412.125,267727149.0,369412125.0,5805410230.0,5805410230.0,,267727149.0,369412125.0
- Các loại thuế khác,- Các loại thuế khác,- Các loại thuế khác,-,9.661.802.029,693.387.651,3.922.916.890,1.127.994.569,-,7.560.267.359,,9661802029.0,693387651.0,3922916890.0,1127994569.0,,7560267359.0
"- Các khoản phí, lệ phí và các khoản phải nộp khác","- Các khoản phí, lệ phí và các khoản phải nộp khác","- Các khoản phí, lệ phí và các khoản phải nộp khác",-,-,2.428.387,2.428.387,-,-,-,,,2428387.0,2428387.0,,,
,,,17.997.772.715,66.741.398.627,69.176.674.460,120.902.019.929,3.066.767.423,17.997.622.292,18.082.670.158,17997772715.0,66741398627.0,69176674460.0,120902019929.0,3066767423.0,17997622292.0,18082670158.0
