row_label_raw,row_label_full,Theo lĩnh vực kinh doanh,Theo lĩnh vực kinh doanh_1,Theo lĩnh vực kinh doanh_2,Theo lĩnh vực kinh doanh_3,Theo lĩnh vực kinh doanh_4,Theo lĩnh vực kinh doanh_5,Theo lĩnh vực kinh doanh_6,numeric__Theo lĩnh vực kinh doanh_1,numeric__Theo lĩnh vực kinh doanh_2,numeric__Theo lĩnh vực kinh doanh_3,numeric__Theo lĩnh vực kinh doanh_4,numeric__Theo lĩnh vực kinh doanh_5,numeric__Theo lĩnh vực kinh doanh_6
,,,"Kinh doanh thươngmại, dịch vụ",Kinh doanh hạ tầngkhu công nghiệp,Các hoạt động khác,Tổng cộng các bộphận,Loại trừ,Tổng cộng toàndoanh nghiệp,,,,,,
,,,VND,VND,VND,VND,VND,VND,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,631.453.755.851,119.450.833.723,210.618.864.846,961.523.454.420,-,961.523.454.420,631453755851.0,119450833723.0,210618864846.0,961523454420.0,,961523454420.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,44.957.852.075,19.722.153.323,32.441.549.054,97.121.554.452,-,97.121.554.452,44957852075.0,19722153323.0,32441549054.0,97121554452.0,,97121554452.0
Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,7.796.786.169,1.485.608.636,-,9.282.394.805,-,9.282.394.805,7796786169.0,1485608636.0,,9282394805.0,,9282394805.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,5.238.256.643.262,1.102.337.102.117,123.992.126.389,6.464.585.871.768,-,6.464.585.871.768,5238256643262.0,1102337102117.0,123992126389.0,6464585871768.0,,6464585871768.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,5.238.256.643.262,1.102.337.102.117,123.992.126.389,6.464.585.871.768,-,6.464.585.871.768,5238256643262.0,1102337102117.0,123992126389.0,6464585871768.0,,6464585871768.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,1.724.445.670.185,466.937.576.369,36.093.160.313,2.227.476.406.867,-,2.227.476.406.867,1724445670185.0,466937576369.0,36093160313.0,2227476406867.0,,2227476406867.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,-,-,-,211.445.706.769,-,211.445.706.769,,,,211445706769.0,,211445706769.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,1.724.445.670.185,466.937.576.369,36.093.160.313,2.438.922.113.636,-,2.438.922.113.636,1724445670185.0,466937576369.0,36093160313.0,2438922113636.0,,2438922113636.0
