row_label_raw,row_label_full,Ông Hà Văn Thuận > Ông Lý Thanh Châu > Ông Nguyễn Văn Minh > Ông Trần Hồng Khôi,Chủ tịch > Chủ tịch/Thành viên > Thành viên,Bổ nhiệm từ ngày 12/06/2020 > - Bổ nhiệm chức danh Chủ tịch HĐQT từ ngày 16/04/2020- Miễn nhiệm chức danh Chủ tịch HĐQT từ ngày 12/06/2020 > - Miễn nhiệm chức danh Chủ tịch HĐQT từ ngày 16/04/2020- Miễn nhiệm chức danh Thành viên HĐQT từ ngày 12/06/2020 > Bổ nhiệm từ ngày 12/06/2020,numeric__Chủ tịch > Chủ tịch/Thành viên > Thành viên,numeric__Bổ nhiệm từ ngày 12/06/2020 > - Bổ nhiệm chức danh Chủ tịch HĐQT từ ngày 16/04/2020- Miễn nhiệm chức danh Chủ tịch HĐQT từ ngày 12/06/2020 > - Miễn nhiệm chức danh Chủ tịch HĐQT từ ngày 16/04/2020- Miễn nhiệm chức danh Thành viên HĐQT từ ngày 12/06/2020 > Bổ nhiệm từ ngày 12/06/2020
Ông Võ Hồng Cường,Ông Võ Hồng Cường,Ông Võ Hồng Cường,Thành viên,,,
Ông Nguyễn An Định,Ông Nguyễn An Định,Ông Nguyễn An Định,Thành viên,,,
Ông Trần Nguyên Vũ,Ông Trần Nguyên Vũ,Ông Trần Nguyên Vũ,Thành viên,Miễn nhiệm từ ngày 12/06/2020,,
Ông Trần Việt Anh,Ông Trần Việt Anh,Ông Trần Việt Anh,Thành viên,,,
Ông Nguyễn Văn Thiền,Ông Nguyễn Văn Thiền,Ông Nguyễn Văn Thiền,Thành viên,,,
Ông Mai Hữu Tín,Ông Mai Hữu Tín,Ông Mai Hữu Tín,Thành viên,,,
Ông Lê Trọng Nghĩa,Ông Lê Trọng Nghĩa,Ông Lê Trọng Nghĩa,Thành viên độc lập,,,
