row_label_raw,row_label_full,Ngân hàng > Ngân hàng Thương mại Cổ phần Việt Á - Chi nhánh Hồ Chí Minh > Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam – Chi nhánh Thắng Lợi > Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam > Ngân hàng Thương mại Cổ phần Á Châu – Chi nhánh Sài Gòn,Số cuối nămVND > 355.730.139.166 > 90.826.491.129 > 44.406.063.231 > 9.900.000.000,Kỳ hạn trả gốc và lãi > Ngày 27 tháng 2 năm 2026 đến ngày 30 tháng 11 năm 2026 > Ngày 9 tháng 1 năm 2026 đến ngày 10 tháng 6 năm 2026 > Từ 27 tháng 2 năm 2026 đến 17 tháng 4 năm 2026 > Ngày 18 tháng 5 năm 2026,Kỳ hạn trả gốc và lãi > Ngày 27 tháng 2 năm 2026 đến ngày 30 tháng 11 năm 2026 > Ngày 9 tháng 1 năm 2026 đến ngày 10 tháng 6 năm 2026 > Từ 27 tháng 2 năm 2026 đến 17 tháng 4 năm 2026 > Ngày 18 tháng 5 năm 2026_1,"Lãi suất%/năm > 9 - 9,5 > 9,84 - 10,14 > 2,6 > 1,7",Hình thức đảm bảo > Quyền sử dụng đất và tài sản gắn liền với quyền sử dụng đất của Công ty TNHH MTV Sao Nam và Ông Võ Đình Ngoc theo hợp đồng thể chấp số 020-190.TTMN/23/VAB/HĐTC và 020-189.TTMN/23/VAB/HĐTC > Một số khoản phải thu ngắn hạn của khách hàng (TM số 6) > Một số khoản tiền gửi có kỳ hạn (TM số 5),Hình thức đảm bảo > Quyền sử dụng đất và tài sản gắn liền với quyền sử dụng đất của Công ty TNHH MTV Sao Nam và Ông Võ Đình Ngoc theo hợp đồng thể chấp số 020-190.TTMN/23/VAB/HĐTC và 020-189.TTMN/23/VAB/HĐTC > Một số khoản phải thu ngắn hạn của khách hàng (TM số 6) > Một số khoản tiền gửi có kỳ hạn (TM số 5)_1,numeric__Số cuối nămVND > 355.730.139.166 > 90.826.491.129 > 44.406.063.231 > 9.900.000.000,numeric__Kỳ hạn trả gốc và lãi > Ngày 27 tháng 2 năm 2026 đến ngày 30 tháng 11 năm 2026 > Ngày 9 tháng 1 năm 2026 đến ngày 10 tháng 6 năm 2026 > Từ 27 tháng 2 năm 2026 đến 17 tháng 4 năm 2026 > Ngày 18 tháng 5 năm 2026,numeric__Kỳ hạn trả gốc và lãi > Ngày 27 tháng 2 năm 2026 đến ngày 30 tháng 11 năm 2026 > Ngày 9 tháng 1 năm 2026 đến ngày 10 tháng 6 năm 2026 > Từ 27 tháng 2 năm 2026 đến 17 tháng 4 năm 2026 > Ngày 18 tháng 5 năm 2026_1,"numeric__Lãi suất%/năm > 9 - 9,5 > 9,84 - 10,14 > 2,6 > 1,7",numeric__Hình thức đảm bảo > Quyền sử dụng đất và tài sản gắn liền với quyền sử dụng đất của Công ty TNHH MTV Sao Nam và Ông Võ Đình Ngoc theo hợp đồng thể chấp số 020-190.TTMN/23/VAB/HĐTC và 020-189.TTMN/23/VAB/HĐTC > Một số khoản phải thu ngắn hạn của khách hàng (TM số 6) > Một số khoản tiền gửi có kỳ hạn (TM số 5),numeric__Hình thức đảm bảo > Quyền sử dụng đất và tài sản gắn liền với quyền sử dụng đất của Công ty TNHH MTV Sao Nam và Ông Võ Đình Ngoc theo hợp đồng thể chấp số 020-190.TTMN/23/VAB/HĐTC và 020-189.TTMN/23/VAB/HĐTC > Một số khoản phải thu ngắn hạn của khách hàng (TM số 6) > Một số khoản tiền gửi có kỳ hạn (TM số 5)_1
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,500.862.693.526,,,,,,500862693526.0,,,,,
Chi tiết các khoản vay ngắn hạn từ bên liên quan để bổ sung nhu cầu vốn lưu động được trình bày như sau:,Chi tiết các khoản vay ngắn hạn từ bên liên quan để bổ sung nhu cầu vốn lưu động được trình bày như sau:,Chi tiết các khoản vay ngắn hạn từ bên liên quan để bổ sung nhu cầu vốn lưu động được trình bày như sau:,Chi tiết các khoản vay ngắn hạn từ bên liên quan để bổ sung nhu cầu vốn lưu động được trình bày như sau:,Chi tiết các khoản vay ngắn hạn từ bên liên quan để bổ sung nhu cầu vốn lưu động được trình bày như sau:,Chi tiết các khoản vay ngắn hạn từ bên liên quan để bổ sung nhu cầu vốn lưu động được trình bày như sau:,Chi tiết các khoản vay ngắn hạn từ bên liên quan để bổ sung nhu cầu vốn lưu động được trình bày như sau:,Chi tiết các khoản vay ngắn hạn từ bên liên quan để bổ sung nhu cầu vốn lưu động được trình bày như sau:,Chi tiết các khoản vay ngắn hạn từ bên liên quan để bổ sung nhu cầu vốn lưu động được trình bày như sau:,,,,,,
Các bên liên quan,Các bên liên quan,Các bên liên quan,Số cuối nămVND,Số nguyên tệ (USD),Kỳ hạn trả gốc,Kỳ hạn trả gốc,Lãi suất%/năm,Hình thức đảm bảo,,,,,,
Công ty Cổ phần Central Wood,Các bên liên quan > Công ty Cổ phần Central Wood,Công ty Cổ phần Central Wood,14.900.000.000,-,Ngày 6 tháng 3 năm 2026,Ngày 6 tháng 3 năm 2026,"6,8",Tin chấp,14900000000.0,,,,6.8,
Natuzzi Singapore Pte. Ltd.,Các bên liên quan > Natuzzi Singapore Pte. Ltd.,Natuzzi Singapore Pte. Ltd.,36.927.800.000,1.400.000,Ngày 1 tháng 8 năm 2026,Ngày 1 tháng 8 năm 2026,"SOFR USD 1M - 0,25%",Tin chấp,36927800000.0,1400000.0,,,,
TỔNG CỘNG,Các bên liên quan > TỔNG CỘNG,TỔNG CỘNG,51.827.800.000,1.400.000,,,,,51827800000.0,1400000.0,,,,
