row_label_raw,row_label_full,Bên liên quan,Nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,
Công ty TNHHThường mại TTF,Phải thu ngắn hạn của khách hàng > Công ty TNHHThường mại TTF,Công ty TNHHThường mại TTF,Bán hàng và cung cấp dịch vụ,88.716.733.607,93.443.951.681,,88716733607.0,93443951681.0
Công ty Cổ phần Đồ gỗCasadora,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Đồ gỗCasadora,Công ty Cổ phần Đồ gỗCasadora,Bán hàng,14.494.547.135,8.549.955.960,,14494547135.0,8549955960.0
Công ty TNHH MTV SửThiền Thanh,Phải thu ngắn hạn của khách hàng > Công ty TNHH MTV SửThiền Thanh,Công ty TNHH MTV SửThiền Thanh,Bán hàng,86.400.000,86.400.000,,86400000.0,86400000.0
Công ty Cổ phần Trồng rừngTrường Thành,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Trồng rừngTrường Thành,Công ty Cổ phần Trồng rừngTrường Thành,Bán hàng,7.150.000,7.150.000,,7150000.0,7150000.0
,,,,103.304.830.742,102.087.457.641,,103304830742.0,102087457641.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,,,
Công ty TNHHThường mại TTF,Trả trước cho người bán ngắn hạn > Công ty TNHHThường mại TTF,Công ty TNHHThường mại TTF,Mua hàng,10.000.000.000,-,,10000000000.0,
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,
Công ty TNHH Trồng rừngTrường Thành OJI,Phải thu về cho vay ngắn hạn > Công ty TNHH Trồng rừngTrường Thành OJI,Công ty TNHH Trồng rừngTrường Thành OJI,Cho vay,-,39.866.278.800,,,39866278800.0
Công ty Cổ phần Đồ gỗCasadora,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Đồ gỗCasadora,Công ty Cổ phần Đồ gỗCasadora,Cho vay,22.427.500.000,21.047.500.000,,22427500000.0,21047500000.0
Công ty Cổ phần Lâm nghiệpTrường Thành,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Lâm nghiệpTrường Thành,Công ty Cổ phần Lâm nghiệpTrường Thành,Cho vay,8.570.400.000,8.570.400.000,,8570400000.0,8570400000.0
,,,,30.997.900.000,69.484.178.800,,30997900000.0,69484178800.0
