row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Mày móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,VND Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Mày móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,346.533.781.584,298.639.375.769,23.056.598.400,19.323.057.670,687.552.813.423,346533781584.0,298639375769.0,23056598400.0,19323057670.0,687552813423.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,-,605.000.000,-,949.600.000,1.554.600.000,,605000000.0,,949600000.0,1554600000.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,9.416.451.591,5.713.099.109,-,-,15.129.550.700,9416451591.0,5713099109.0,,,15129550700.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,355.950.233.175,304.957.474.878,23.056.598.400,20.272.657.670,704.236.964.123,355950233175.0,304957474878.0,23056598400.0,20272657670.0,704236964123.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,12.414.482.667,88.429.143.579,7.258.533.038,3.806.415.411,111.908.574.695,12414482667.0,88429143579.0,7258533038.0,3806415411.0,111908574695.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,(121.077.345.572),(167.387.067.989),(11.388.384.741),(10.057.067.468),(309.909.865.770),-121077345572.0,-167387067989.0,-11388384741.0,-10057067468.0,-309909865770.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,(12.983.014.535),(19.871.960.900),(1.309.651.237),(1.797.012.169),(35.961.638.841),-12983014535.0,-19871960900.0,-1309651237.0,-1797012169.0,-35961638841.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,(134.060.360.107),(187.259.028.889),(12.698.035.978),(11.854.079.637),(345.871.504.611),-134060360107.0,-187259028889.0,-12698035978.0,-11854079637.0,-345871504611.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,225.456.436.012,131.252.307.780,11.668.213.659,9.265.990.202,377.642.947.653,225456436012.0,131252307780.0,11668213659.0,9265990202.0,377642947653.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,221.889.873.068,117.698.445.989,10.358.562.422,8.418.578.033,358.365.459.512,221889873068.0,117698445989.0,10358562422.0,8418578033.0,358365459512.0
