row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__VND Số cuối năm
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,10.877.560.032,51.342.578.999,(44.141.289.115),18.078.849.916,10877560032.0,51342578999.0,-44141289115.0,18078849916.0
Thuế nhập khẩu,Phải thu > Thuế nhập khẩu,Thuế nhập khẩu,173.962.543,2.256.234.532,(891.602.120),1.538.594.955,173962543.0,2256234532.0,-891602120.0,1538594955.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,11.051.522.575,53.598.813.531,(45.032.891.235),19.617.444.871,11051522575.0,53598813531.0,-45032891235.0,19617444871.0
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.089.948.788,7.852.809.366,(8.103.028.127),839.730.027,1089948788.0,7852809366.0,-8103028127.0,839730027.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,976.437.493,-,(976.437.493),-,976437493.0,,-976437493.0,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,49.440.284.323,(49.440.284.323),-,,49440284323.0,-49440284323.0,
Khác,Phải nộp > Khác,Khác,17.344.587.043,3.745.295.647,(19.657.393.567),1.432.489.123,17344587043.0,3745295647.0,-19657393567.0,1432489123.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,19.410.973.324,61.038.389.336,(78.177.143.510),2.272.219.150,19410973324.0,61038389336.0,-78177143510.0,2272219150.0
