row_label_raw,row_label_full,Bên liên quan,Nghiệp vụ,Năm nay,VNDNăm trước,numeric__Nghiệp vụ,numeric__Năm nay,numeric__VNDNăm trước
Công ty TNHH Thương mại TTF,Công ty TNHH Thương mại TTF,Công ty TNHH Thương mại TTF,Bán hàng,165.775.287.021,93.076.702.446,,165775287021.0,93076702446.0
Công ty TNHH Thương mại TTF,Công ty TNHH Thương mại TTF,Công ty TNHH Thương mại TTF,Tạm ứng,,,,,
Công ty TNHH Thương mại TTF,Công ty TNHH Thương mại TTF > Công ty TNHH Thương mại TTF,Công ty TNHH Thương mại TTF,mua hàng,10.000.000.000,-,,10000000000.0,
Công ty TNHH Thương mại TTF,Công ty TNHH Thương mại TTF > Công ty TNHH Thương mại TTF,Công ty TNHH Thương mại TTF,Cung cấp dịch vụ,5.991.224.209,7.823.039.201,,5991224209.0,7823039201.0
Công ty TNHH Thương mại TTF,Công ty TNHH Thương mại TTF,Công ty TNHH Thương mại TTF,Mua tài sản,,,,,
Công ty TNHH Thương mại TTF,Công ty TNHH Thương mại TTF > Công ty TNHH Thương mại TTF,Công ty TNHH Thương mại TTF,có định,-,36.477.397.000,,,36477397000.0
Công ty TNHH Thương mại TTF,Công ty TNHH Thương mại TTF > Công ty TNHH Thương mại TTF,Công ty TNHH Thương mại TTF,Phí thuê,-,5.423.000.000,,,5423000000.0
Công ty TNHH Thương mại TTF,Công ty TNHH Thương mại TTF,Công ty TNHH Thương mại TTF,máy móc,,,,,
Công ty TNHH Thương mại TTF,Công ty TNHH Thương mại TTF > Công ty TNHH Thương mại TTF,Công ty TNHH Thương mại TTF,Khác,-,166.521.338,,,166521338.0
Natuzzi Singapore Pte. Ltd.,Công ty TNHH Thương mại TTF > Natuzzi Singapore Pte. Ltd.,Natuzzi Singapore Pte. Ltd.,Lãi vay,738.428.109,712.754.381,,738428109.0,712754381.0
Natuzzi Singapore Pte. Ltd.,Công ty TNHH Thương mại TTF > Natuzzi Singapore Pte. Ltd.,Natuzzi Singapore Pte. Ltd.,Đi vay,-,35.084.000.000,,,35084000000.0
Công ty Cổ phần Đồ gỗ Casadora,Công ty TNHH Thương mại TTF > Công ty Cổ phần Đồ gỗ Casadora,Công ty Cổ phần Đồ gỗ Casadora,Cung cấp dịch vụ,6.878.293.333,2.520.000.000,,6878293333.0,2520000000.0
