row_label_raw,row_label_full,"Tên công ty liên doanh, liên kết",Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,Địa điểm,Ngành nghề kinh doanh,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2,numeric__Địa điểm,numeric__Ngành nghề kinh doanh
"Tên công ty liên doanh, liên kết","Tên công ty liên doanh, liên kết","Tên công ty liên doanh, liên kết",Tỷ lệ sở hữu và biểu quyết,Giá gốc,Dự phòng,Tỷ lệ sở hữu và biểu quyết (%),Giá gốc VND,Dự phòng VND,Địa điểm,Ngành nghề kinh doanh,,,,,,,,
Công ty TNHH Trồng rừng Trường Thành OJI (TM 16.2),"Tên công ty liên doanh, liên kết > Công ty TNHH Trồng rừng Trường Thành OJI (TM 16.2)",Công ty TNHH Trồng rừng Trường Thành OJI (TM 16.2),"11,48",23.652.092.312,-,-,-,-,Đắk Lắk,Trồng rừng,11.48,23652092312.0,,,,,,
Công ty Cổ phần Natuzzi Việt Nam,"Tên công ty liên doanh, liên kết > Công ty Cổ phần Natuzzi Việt Nam",Công ty Cổ phần Natuzzi Việt Nam,"5,00",3.257.500.000,-,-,-,-,TP. Hồ Chí Minh,Sản xuất đồ gỗ,5.0,3257500000.0,,,,,,
Công ty Cổ phần Công nghiệp và Thương mại Lidovit,"Tên công ty liên doanh, liên kết > Công ty Cổ phần Công nghiệp và Thương mại Lidovit",Công ty Cổ phần Công nghiệp và Thương mại Lidovit,"0,47",279.784.766,-,"0,47",279.784.766,-,TP. Hồ Chí Minh,Sản xuất sản phẩm kim loại,0.47,279784766.0,,0.47,279784766.0,,,
TỔNG CỘNG,"Tên công ty liên doanh, liên kết > TỔNG CỘNG",TỔNG CỘNG,,27.189.377.078,-,,279.784.766,-,,,,27189377078.0,,,279784766.0,,,
